symbol,rsrating,time
PRM,136.07,2025-07-25
YALA,136.02,2025-07-25
AXON,135.91,2025-07-25
WILC,135.75,2025-07-25
CRPT,135.69,2025-07-25
SMMT,135.64,2025-07-25
AU,135.5,2025-07-25
HIBL,135.49,2025-07-25
FBL,135.42,2025-07-25
MSTR,135.35,2025-07-25
MIR,135.35,2025-07-25
SLNO,135.34,2025-07-25
RILYN,135.27,2025-07-25
AAMI,135.22,2025-07-25
METCB,135.18,2025-07-25
EZET,135.16,2025-07-25
ETHV,135.13,2025-07-25
MYRG,135.05,2025-07-25
ZVRA,135.03,2025-07-25
ARKK,134.95,2025-07-25
CIFR,134.91,2025-07-25
DXYZ,134.89,2025-07-25
GHRS,134.85,2025-07-25
USAU,134.85,2025-07-25
ETHA,134.83,2025-07-25
ETH,134.81,2025-07-25
FETH,134.81,2025-07-25
TESL,134.76,2025-07-25
ETHW,134.76,2025-07-25
LINC,134.73,2025-07-25
FL,134.53,2025-07-25
CETH,134.33,2025-07-25
URA,134.31,2025-07-25
RDW,134.19,2025-07-25
CRVO,134.16,2025-07-25
VEON,134.12,2025-07-25
TOST,134.1,2025-07-25
QETH,134.04,2025-07-25
XERS,134.02,2025-07-25
KZIA,133.87,2025-07-25
NUKZ,133.82,2025-07-25
DAO,133.78,2025-07-25
FSI,133.77,2025-07-25
PHAT,133.68,2025-07-25
FENC,133.61,2025-07-25
FLYU,133.57,2025-07-25
AHR,133.54,2025-07-25
MESO,133.48,2025-07-25
MSTU,133.43,2025-07-25
CPXR,133.4,2025-07-25
APEI,133.33,2025-07-25
ETHE,133.3,2025-07-25
BBW,133.28,2025-07-25
SPOT,133.02,2025-07-25
COUR,132.95,2025-07-25
BOSC,132.85,2025-07-25
RIOT,132.83,2025-07-25
TATT,132.83,2025-07-25
PPTA,132.78,2025-07-25
ENVX,132.72,2025-07-25
SKLZ,132.64,2025-07-25
METU,132.64,2025-07-25
LTM,132.5,2025-07-25
ARKX,132.48,2025-07-25
ZIMV,132.45,2025-07-25
DY,132.43,2025-07-25
IE,132.41,2025-07-25
EXEL,132.24,2025-07-25
BULZ,132.18,2025-07-25
ACMR,132.07,2025-07-25
FEDU,131.95,2025-07-25
GBFH,131.84,2025-07-25
APH,131.82,2025-07-25
SLGL,131.79,2025-07-25
CRSP,131.44,2025-07-25
EUAD,131.41,2025-07-25
GOOS,131.4,2025-07-25
EME,131.33,2025-07-25
BWMN,131.31,2025-07-25
SII,131.27,2025-07-25
EVAV,131.27,2025-07-25
BTGD,131.23,2025-07-25
SHLD,131.23,2025-07-25
WDC,131.01,2025-07-25
BLOK,130.97,2025-07-25
YOSH,130.95,2025-07-25
CDE,130.93,2025-07-25
SHOP,130.89,2025-07-25
MTZ,130.8,2025-07-25
ICCC,130.67,2025-07-25
GE,130.62,2025-07-25
BBIO,130.53,2025-07-25
MAZE,130.49,2025-07-25
GHLD,130.48,2025-07-25
CUK,130.33,2025-07-25
PRIM,130.31,2025-07-25
BKTI,130.19,2025-07-25
CCL,130.17,2025-07-25
LQDA,130.16,2025-07-25
AAP,130.15,2025-07-25
PRA,130.15,2025-07-25
PAHC,130.0,2025-07-25
FWRD,129.95,2025-07-25
MKTW,129.89,2025-07-25
CTRN,129.86,2025-07-25
BITX,129.83,2025-07-25
ZS,129.81,2025-07-25
FRHC,129.79,2025-07-25
NYAX,129.72,2025-07-25
UFO,129.72,2025-07-25
PBPB,129.7,2025-07-25
ARKQ,129.66,2025-07-25
CALX,129.64,2025-07-25
LMBO,129.59,2025-07-25
DRS,129.54,2025-07-25
DCO,129.47,2025-07-25
LLYVK,129.15,2025-07-25
LLYVA,129.12,2025-07-25
PEGA,128.92,2025-07-25
DLTR,128.85,2025-07-25
XPP,128.77,2025-07-25
AAUC,128.77,2025-07-25
TCI,128.76,2025-07-25
XPEV,128.75,2025-07-25
CW,128.7,2025-07-25
ECG,128.65,2025-07-25
JCI,128.56,2025-07-25
SLVR,128.55,2025-07-25
QURE,128.49,2025-07-25
XMTR,128.47,2025-07-25
ACAD,128.45,2025-07-25
DAPP,128.42,2025-07-25
IBEX,128.36,2025-07-25
TECL,128.35,2025-07-25
ARKZ,128.12,2025-07-25
NN,128.04,2025-07-25
EETH,127.99,2025-07-25
WWD,127.75,2025-07-25
VIK,127.71,2025-07-25
OCUL,127.71,2025-07-25
DEFI,127.66,2025-07-25
RHLD,127.64,2025-07-25
HNRG,127.55,2025-07-25
PSIL,127.53,2025-07-25
BKKT,127.4,2025-07-25
CRK,127.38,2025-07-25
APG,127.36,2025-07-25
NLR,127.3,2025-07-25
MSFL,127.27,2025-07-25
KEQU,127.2,2025-07-25
PLTM,127.15,2025-07-25
UTI,127.14,2025-07-25
ARLO,127.11,2025-07-25
ALDX,126.9,2025-07-25
PPLT,126.89,2025-07-25
FNGO,126.88,2025-07-25
GDXU,126.84,2025-07-25
RL,126.76,2025-07-25
TIGO,126.62,2025-07-25
PXLW,126.61,2025-07-25
COIW,126.52,2025-07-25
SSBI,126.51,2025-07-25
CCB,126.47,2025-07-25
DUSL,126.46,2025-07-25
LUD,126.45,2025-07-25
BGLC,126.39,2025-07-25
MRUS,126.37,2025-07-25
OWNB,126.32,2025-07-25
