Rank,Industry,Sector,Relative Strength,1 Month Ago,3 Months Ago,6 Months Ago,Ticker
37,Specialty Industrial Machinery,Industrials,60,54,36,60,"PSIX,SMR,GEV,SYM,AMSC,NNE,GHM,MIR,XMTR,HUHU,ROK,GTES,EMR,SERV,NPO,JBTM,CR,ETN,WTS,TAYD,PH,CMI,RRX,GTLS,GNRC,ATS,ITT,PNR,HURC,CXT,FLS,KRNT,MIDD,GRC,MWA,XYL,ITW,AME,HLIO,DOV,KAI,NDSN,SXI,DCI,GGG,IR,AOS,LXFR,THR,TNC,FELE,TWIN,IEX,OTIS,EPAC,CSW,OFLX,HI,PKOH"
38,Department Stores,Consumer Cyclical,60,21,7,33,"DDS,KSS,M"
39,Credit Services,Financial Services,59,67,62,69,"SEZL,SOFI,UPST,XYF,LX,FOA,OPRT,OPFI,FINV,SYF,SLM,COF,BFH,WRLD,V,ENVA,OMF,AXP,GDOT,ATLC,MA,PYPL,NNI,MFIN,QFIN,YRD,RWAY,ALLY,EZPW,FCFS,SLMBP,CACC,OMCC,NAVI,RM,ATLCP,ANTA,CPSS,ECPG,AGM,JCAP,WU,PRAA,PMTS"
40,Medical Distribution,Healthcare,59,67,61,61,"CAH,MCK,COR,HSIC,OMI"
41,Food Distribution,Consumer Defensive,59,56,58,47,"WILC,SPTN,USFD,CHEF,UNFI,PFGC,SYY,AVO,CVGW,DIT,ANDE,TWG"
42,Lodging,Consumer Cyclical,59,48,40,71,"ATAT,HLT,MAR,H,SHCO,WH,CVEO,IHG,CHH,HTHT"
43,Semiconductors,Technology,59,60,25,48,"ALMU,NVTS,CRDO,LASR,WKEY,ALAB,POET,ALGM,AVGO,NVDA,SIMO,AMD,SMTC,PXLW,TSM,MCHPP,HIMX,RMBS,MTSI,ARM,SLAB,SKYT,MU,MCHP,MXL,AIP,SITM,ON,TSEM,MRAM,ADI,ASX,VSH,UMC,MPWR,QRVO,NXPI,MRVL,TXN,LSCC,GFS,STM,PI,AOSL,DIOD,QCOM,SYNA,CRUS,NVEC,IMOS,INTC,CEVA,SWKS,POWI,QUIK"
44,Electronic Gaming & Multimedia,Communication Services,58,53,45,40,"RBLX,SKLZ,NTES,SOHU,TTWO,EA,GRVY,GDEV,DDI,TRUG"
45,Copper,Basic Materials,58,72,18,14,"IE,HBM,MTAL,FCX,SCCO,ERO"
46,Internet Content & Information,Communication Services,58,52,51,54,"AREN,SOGP,GRPN,NBIS,JFIN,TME,RDDT,SPOT,CMCM,BMBL,BZ,BILI,MOMO,JOYY,META,Z,LCFY,ZG,PERI,GENI,EVER,PINS,RUM,WB,VBIX,OPRA,GOOGL,GOOG,IAC,MTCH,UPWK,FVRR,ATHM,BIDU,ANGI,YELP,MAX,NRDS,SNAP,DOYU,CARS,UPXI,TZOO,WBTN,SSTK,SCOR,THRY,DJT,DJTWW,SLE"
47,Rental & Leasing Services,Industrials,57,54,43,53,"CAR,HTZ,ALTG,CTOS,R,AL,URI,AER,MGRC,GATX,FTAI,HRI,FTAIM,WLFC,FTAIN,WSC,UHAL,PRG,VSTS"
48,Discount Stores,Consumer Defensive,57,71,73,59,"DLTR,OLLI,DG,PSMT,WMT,BJ,COST,TGT,TBBB"
49,Utilities - Regulated Electric,Utilities,57,59,81,52,"OKLO,KEP,GNE,TXNM,ELPC,ETR,EMA,ELP,CNP,IDA,VIASP,CEPU,XEL,WEC,AEE,PPL,ES,EVRG,DTE,FTS,LNT,NGG,AEP,SO,D,OGE,CMS,EXC,PEG,DUK,EDN,PNW,HE,FE,ED,NEE,MGEE,NWE,POR,EIX,PCG"
50,Software - Infrastructure,Technology,57,61,55,62,"AEVA,ARQQ,PDYN,PLTR,TAOX,CRWV,PGY,VHC,PAYS,GRRR,JG,NET,SUPX,ZENA,ALLT,RBRK,AISP,ODD,ORCL,TWLO,AFRM,AMBR,TOST,NYAX,CALX,ZS,NN,BKKT,VRSN,BASE,CTLP,CRWD,YEXT,MQ,RDWR,KPLT,AVPT,FFIV,GCT,CORZ,FOUR,FTNT,MSFT,SNPS,NTNX,XYZ,CSGS,CYBR,IIIV,VRNS,ATEN,TCX,GB,GEN,RAMP,DLO,PANW,STNE,MDB,CHKP,CFLT,ALAR,INFA,CGNT,EXOD,BOX,OKTA,WEX,NTCT,PAY,AVDX,EVCM,EEFT,QLYS,AI,KVYO,DOX,SAIL,DBX,CPAY,CCSI,EVTC,PRTH,PATH,VRNT,RELY,OS,OSPN,BLZE,GDDY,SANG,BAND,PAYO,IOT,ZETA,FLYW,S,ACIW,FIVN,APPN,CINT,GTLB,AKAM,PAGS,TENB,RPAY,PRGS,WIX,DOCN,HPAI,KSPI,ARAI,TDC,CLBT,SNCR,PSFE,RPD,FATN,DAVA,IMXI,MLGO"
51,Financial Data & Stock Exchanges,Financial Services,56,58,51,64,"COIN,MKTW,NDAQ,CBOE,CME,ICE,MCO,TRU,SPGI,MSCI,FDS,VALU,MORN,DNB"
52,Waste Management,Industrials,56,71,56,52,"PESI,RSG,NVRI,MEG,GFL,WM,WCN,CLH,CWST"
53,Footwear & Accessories,Consumer Cyclical,55,40,31,63,"FORD,FMFC,WWW,RCKY,NKE,ONON,SKX,WEYS,BIRK,CROX,SHOO,DECK"
54,Grocery Stores,Consumer Defensive,54,61,76,60,"SFM,KR,NGVC,VLGEA,WMK,IMKTA,ACI,GO"
