Rank,Ticker,Type,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,Latest Volume,9M+ Volume,History_Days,Gap (%),HVE,HVE Date,HVE Volume,IPO,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,SMA50,SMA200,SMA10W,SMA30W
7632,ORCL,Stock,148.53,27310401,n/a,n/a,5.0,2.0,39.0,5.0,36447100.0,YES,10151,0.0,NO,1997-12-09,1030963200.0,NO,11.4207,10.0414,27533875.0,28276010.0,345.72,134.57,427836375040,189.07,203.14,188.25,175.35
7592,JD,Stock,25.39,12939300,Consumer Cyclical,Internet Retail,5.0,5.0,5.0,10.0,12998500.0,YES,3042,0.0,NO,2016-05-31,95370800.0,NO,0.6832,0.5521,9646983.0,9837300.0,36.86,24.51,34289192960,29.67,30.09,29.21,28.84
7623,PAY,Stock,23.43,2380906,Technology,Software - Infrastructure,5.0,60.0,9.0,5.0,11410000.0,YES,1277,0.0,YES,2026-06-26,11410000.0,NO,0.9946,0.9724,833340.0,1927650.0,39.38,20.11,2947244288,24.4,28.28,23.94,26.26
7568,TTAN,Stock,69.2,11133717,Technology,Software - Application,5.0,87.0,56.0,2.0,11154500.0,YES,384,0.6,YES,2026-06-26,11154500.0,NO,4.2731,4.1809,1467562.0,2278800.0,119.99,54.17,6601511936,64.93,82.34,65.91,76.24
7587,FOXA,Stock,50.1,9541366,Communication Services,Entertainment,5.0,2.0,5.0,3.0,9542800.0,YES,1834,0.27,NO,2026-06-15,33618700.0,NO,3.0214,2.4429,4988641.0,14984070.0,76.39,48.34,21037021184,62.38,63.52,61.7,64.03
7606,PSQ,ETF,26.13,9515083,ETF,ETF,5.0,70.0,3.0,10.0,9539200.0,YES,5035,1.32,NO,2026-03-31,24452300.0,NO,0.6993,0.5721,9267117.0,8860080.0,34.1,24.96,0,26.56,29.66,26.31,29.17
7667,PYPL,Stock,44.29,26734573,Financial Services,Credit Services,4.0,65.0,14.0,5.0,33226800.0,YES,2761,0.0,NO,2026-02-03,141690600.0,NO,1.3169,1.2697,15237141.0,18690090.0,79.5,38.46,39068450816,45.4,54.22,44.93,48.81
7716,CMCSA,Stock,23.17,37745396,Communication Services,Telecom Services,4.0,8.0,2.0,8.0,25303800.0,YES,11663,0.09,NO,2007-10-25,276688892.0,NO,0.6107,0.595,31943458.0,39096430.0,34.36,22.13,82768535552,25.53,27.73,24.84,27.6
7725,OKLO,Stock,50.0,22762049,n/a,n/a,4.0,1.0,12.0,2.0,22870700.0,YES,1248,0.0,NO,2025-05-23,92503100.0,NO,4.3221,4.0285,13765008.0,11150390.0,193.84,44.88,8699549696,64.97,84.61,63.57,69.43
7723,NCNO,Stock,15.63,13678644,Technology,Software - Application,4.0,73.0,40.0,2.0,19603000.0,YES,1496,0.21,NO,2025-04-02,20086400.0,NO,0.8496,0.8281,3933927.0,5001430.0,33.92,13.8,1712312704,16.22,20.99,16.13,18.75
