Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,Earning_Date,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume,%_From_52WKH
92,SHAZ,76.17,71.76,1644554,Technology,Information Technology Services,97.0,90.0,98.0,,11.4679,10.4271,908275.0,1948800.0,97.48,16.55,,1797649152,NO,77.41,66.05,,69.91,,97,0.0,1644554,NO,NO,2026-06-17,3956900,-21.86
95,ANAB,65.35,67.325,1155322,Healthcare,Biotechnology,97.0,96.0,95.0,97.0,3.7542,3.7342,677969.0,766960.0,72.36,11.4,,1934914176,NO,60.17,60.62,38.97,60.37,46.02,2374,0.0,1155322,NO,NO,2019-11-08,26495100,-9.69
98,ACMR,98.07,94.66,1060140,Technology,Semiconductor Equipment & Materials,97.0,96.0,98.0,97.0,11.1834,9.4034,1692073.0,2135270.0,127.19,23.03,,6777567232,NO,100.33,81.4,54.08,86.39,62.53,2179,0.0,1060140,NO,NO,2024-02-28,12244400,-22.89
120,VSAT,74.0,76.72,1688000,Technology,Communication Equipment,97.0,88.0,91.0,96.0,6.8921,6.5314,2474006.0,3615520.0,93.03,14.0,,10106102784,NO,70.24,70.42,48.71,71.52,55.41,7444,0.0,1688824,NO,NO,2024-06-28,18455500,-20.46
121,ARWR,85.74,86.97,1660425,Healthcare,Biotechnology,97.0,93.0,92.0,89.0,4.0516,4.0439,2074095.0,3720140.0,87.83,14.3,,12077080576,NO,79.76,77.2,61.31,78.03,69.32,8193,0.0,1660425,NO,NO,2014-10-08,54778100,-2.38
123,TXG,37.47,37.83,3012262,Healthcare,Health Information Services,97.0,94.0,96.0,97.0,2.6329,2.5019,3061406.0,3450750.0,40.56,11.16,,4757048832,NO,34.46,28.44,20.51,30.27,23.59,1713,0.0,3012262,NO,NO,2025-06-27,17909500,-7.62
124,TWST,89.38,91.03,1719350,Healthcare,Diagnostics & Research,97.0,96.0,96.0,97.0,7.0179,6.8543,1764993.0,2215470.0,105.47,23.3,,5565809664,NO,88.26,71.57,47.34,75.49,55.45,1929,0.0,1719915,NO,NO,2022-11-15,7568500,-15.26
126,EWTX,46.3,43.13,2449947,Healthcare,Biotechnology,97.0,96.0,93.0,96.0,2.5607,2.5125,1424308.0,1278980.0,46.95,12.3,,4981556224,NO,38.36,35.7,27.57,36.98,31.78,1326,0.0,2449947,NO,NO,2025-04-02,16114400,-1.38
129,WYFI,36.74,33.42,3704149,Technology,Information Technology Services,97.0,98.0,98.0,97.0,6.3134,6.1146,1914155.0,3030570.0,46.87,10.51,,1418686336,NO,34.17,28.38,22.58,29.83,20.95,230,0.0,3704149,NO,NO,2025-08-07,14776600,-21.61
130,CRDO,258.69,246.4,5680495,Technology,Semiconductors,97.0,95.0,98.0,96.0,30.2493,25.57,8782962.0,11432250.0,308.67,86.48,,48239968256,NO,257.31,221.36,160.07,228.32,164.59,1114,0.0,5680495,NO,NO,2026-06-26,38637200,-16.19
