Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,pct_below_52wh,pct_of_52wh
80,SKYT,30.35,2379769.0,Technology,Semiconductors,98.0,78.0,98.0,97.0,2496655.0,4371550.0,36.27,5.67,1475789696.0,No,16.322029225255037,83.67797077474496
82,MBX,37.67,289782.0,Healthcare,Biotechnology,98.0,90.0,97.0,98.0,787259.0,820080.0,44.89,4.81,1691469696.0,No,16.083760302962798,83.91623969703721
84,ARMN,17.76,3180306.0,Basic Materials,Gold,98.0,64.0,97.0,96.0,1833013.0,2192700.0,21.98,3.57,3632615168.0,No,19.199272065514098,80.8007279344859
86,UUUU,21.22,11478344.0,Energy,Uranium,98.0,85.0,90.0,96.0,13233934.0,20547470.0,27.9,3.2,5110359040.0,No,23.9426523297491,76.05734767025089
87,IBRX,6.05,17965210.0,Healthcare,Biotechnology,98.0,98.0,98.0,97.0,25908009.0,32759280.0,8.28,1.83,5959039488.0,No,26.932367149758452,73.06763285024155
88,ASTS,101.79,15753129.0,Technology,Communication Equipment,98.0,92.0,94.0,96.0,14854196.0,15024000.0,129.89,18.22,37397778432.0,No,21.633690045423037,78.36630995457696
89,CMTL,5.7,285078.0,Technology,Communication Equipment,98.0,43.0,98.0,97.0,375500.0,358250.0,6.21,1.19,168966368.0,No,8.212560386473426,91.78743961352657
90,TTI,11.67,930479.0,Industrials,Conglomerates,98.0,94.0,96.0,98.0,2086508.0,1785260.0,12.54,2.03,1560824192.0,No,6.937799043062196,93.0622009569378
91,ENLT,60.01,77312.0,Utilities,Utilities - Renewable,98.0,93.0,97.0,97.0,55588.0,121260.0,62.94,14.01,8211327488.0,No,4.6552272005084205,95.34477279949158
93,TTMI,98.58,2611782.0,Technology,Electronic Components,98.0,97.0,94.0,96.0,2617686.0,4713620.0,111.0,15.77,10186343424.0,No,11.18918918918919,88.8108108108108
96,VSAT,41.7,2797695.0,Technology,Communication Equipment,97.0,83.0,69.0,92.0,1902752.0,1937750.0,49.68,7.36,5640507392.0,No,16.062801932367144,83.93719806763286
97,PRE,19.24,191432.0,Healthcare,Diagnostics & Research,97.0,91.0,95.0,97.0,178855.0,244380.0,20.89,3.1,323779136.0,No,7.898516036381054,92.10148396361895
98,TYRA,31.0,503647.0,Healthcare,Biotechnology,97.0,60.0,98.0,98.0,584055.0,646990.0,32.44,6.42,1654534912.0,No,4.438964241676936,95.56103575832307
99,ACMR,62.48,1704161.0,Technology,Semiconductor Equipment & Materials,97.0,97.0,98.0,97.0,1389849.0,1650080.0,64.79,16.82,4053480704.0,No,3.565365025466907,96.4346349745331
100,ATRO,76.58,590485.0,Industrials,Aerospace & Defense,97.0,97.0,96.0,97.0,713670.0,611480.0,81.89,18.28,2728477952.0,No,6.48430821834168,93.51569178165832
101,TER,300.11,4698437.0,Technology,Semiconductor Equipment & Materials,97.0,97.0,96.0,97.0,3274336.0,4647900.0,301.38,65.77,47739555840.0,No,0.4213949167164317,99.57860508328356
102,TSEM,139.04,2282396.0,Technology,Semiconductors,97.0,88.0,96.0,97.0,1821270.0,2338290.0,142.68,28.64,15634732032.0,No,2.5511634426689196,97.44883655733108
103,AMPX,12.24,7948019.0,Industrials,Electrical Equipment & Parts,97.0,97.0,16.0,92.0,7419037.0,10660700.0,16.03,1.7,1597122176.0,No,23.643169058016223,76.35683094198377
104,SBSW,16.45,6387959.0,Basic Materials,Other Precious Metals & Mining,97.0,61.0,97.0,95.0,7077431.0,12082000.0,21.29,3.05,11816344576.0,No,22.73367778299671,77.26632221700329
105,FRGE,44.65,129640.0,Financial Services,Capital Markets,97.0,35.0,97.0,96.0,413731.0,156550.0,44.88,6.6,618161664.0,No,0.5124777183600802,99.48752228163991
106,BLTE,187.86,363818.0,Healthcare,Biotechnology,97.0,88.0,97.0,97.0,245032.0,270340.0,200.0,49.0,7047498752.0,No,6.069999999999993,93.93
107,CIEN,271.32,3369289.0,Technology,Communication Equipment,97.0,67.0,93.0,98.0,3031436.0,2744140.0,285.97,49.21,38271287296.0,No,5.122914991082992,94.877085008917
108,WULF,14.29,46210133.0,Financial Services,Capital Markets,97.0,88.0,16.0,98.0,32691442.0,36988920.0,17.05,2.06,5982964224.0,No,16.187683284457485,83.81231671554251
109,CYD,50.0,140282.0,Consumer Cyclical,Auto Manufacturers,97.0,95.0,92.0,95.0,153575.0,174120.0,50.98,10.79,1875916160.0,No,1.9223224794036815,98.07767752059632
110,AAUC,31.19,566622.0,Basic Materials,Gold,97.0,96.0,98.0,97.0,922422.0,1796700.0,32.08,8.67,3886397184.0,No,2.7743142144638315,97.22568578553617
112,JMIA,11.91,3034949.0,Consumer Cyclical,Internet Retail,97.0,7.0,64.0,96.0,3227934.0,3065480.0,14.72,1.6,1458532224.0,No,19.08967391304348,80.91032608695652
113,FET,47.98,307882.0,Energy,Oil & Gas Equipment & Services,97.0,95.0,97.0,97.0,142009.0,261350.0,48.67,12.78,571119232.0,No,1.4177111156770184,98.58228888432298
114,CENX,52.4,2527370.0,Basic Materials,Aluminum,97.0,94.0,98.0,97.0,2261316.0,2362180.0,52.78,13.05,4891119104.0,No,0.7199696854869317,99.28003031451307
115,NESR,20.87,1004014.0,Energy,Oil & Gas Equipment & Services,97.0,96.0,97.0,98.0,1088078.0,1240500.0,21.1,5.2,2103231872.0,No,1.0900473933649308,98.90995260663506
116,DBVT,21.26,352072.0,Healthcare,Biotechnology,97.0,92.0,95.0,96.0,501218.0,506930.0,26.18,3.82,1154257664.0,No,18.792971734148196,81.2070282658518
117,LAR,6.73,1727644.0,Basic Materials,Other Industrial Metals & Mining,97.0,17.0,97.0,97.0,3581685.0,3453850.0,8.8,1.71,1092696320.0,No,23.522727272727273,76.47727272727273
118,SOXL,61.75,107430326.0,ETF,ETF,97.0,92.0,91.0,97.0,89198077.0,81298970.0,71.98,7.23,,No,14.212281189219233,85.78771881078076
119,AUGO,65.99,702021.0,Basic Materials,Gold,97.0,96.0,98.0,97.0,771614.0,1474240.0,76.8,22.24,5512441856.0,No,14.075520833333337,85.92447916666667
120,HBM,24.73,4060500.0,Basic Materials,Copper,97.0,91.0,96.0,97.0,5520226.0,8289120.0,28.74,5.95,9796755456.0,No,13.952679192762693,86.0473208072373
121,SIFY,14.52,77469.0,Communication Services,Telecom Services,97.0,78.0,89.0,94.0,78134.0,95990.0,17.85,3.5,1050889536.0,No,18.655462184873958,81.34453781512605
124,INNV,8.36,582983.0,Healthcare,Medical Care Facilities,97.0,98.0,98.0,97.0,205962.0,352660.0,8.4,2.6,1134447488.0,No,0.47619047619048716,99.52380952380952
125,ELVA,8.85,521142.0,Industrials,Electrical Equipment & Parts,97.0,53.0,96.0,95.0,706822.0,870630.0,11.88,1.8,415347488.0,No,25.505050505050512,74.4949494949495
126,NGL,11.99,353452.0,Energy,Oil & Gas Midstream,97.0,97.0,93.0,98.0,412550.0,837920.0,13.0,2.64,1489996160.0,No,7.769230769230767,92.23076923076923
128,HLF,16.99,840219.0,Consumer Defensive,Packaged Foods,97.0,92.0,98.0,95.0,1967749.0,1279490.0,17.93,5.04,1755249152.0,No,5.242610150585618,94.75738984941438
129,FORM,90.29,2219797.0,Technology,Semiconductor Equipment & Materials,97.0,98.0,96.0,98.0,1137226.0,1880270.0,92.58,22.58,6999018496.0,No,2.473536400950521,97.52646359904948
130,CDE,21.44,24403593.0,Basic Materials,Gold,97.0,84.0,95.0,95.0,22345832.0,34561560.0,27.77,4.58,13768873984.0,No,22.794382427079576,77.20561757292043
132,ASMG,38.02,121311.0,ETF,ETF,97.0,96.0,96.0,98.0,131544.0,357210.0,42.6,8.93,,No,10.751173708920184,89.24882629107982
133,HUT,53.06,6099473.0,Financial Services,Capital Markets,97.0,13.0,75.0,97.0,6695595.0,6745470.0,66.07,10.04,5732423680.0,No,19.69123656727712,80.30876343272288
134,BKD,16.12,8755381.0,Healthcare,Medical Care Facilities,97.0,98.0,97.0,96.0,4331627.0,7022320.0,16.37,4.45,3831471360.0,No,1.5271838729383016,98.4728161270617
135,STOK,32.4,780931.0,Healthcare,Biotechnology,97.0,13.0,94.0,97.0,857603.0,533100.0,38.69,5.35,1850595840.0,No,16.257430860687517,83.74256913931248
137,NEXA,12.39,438727.0,Basic Materials,Other Industrial Metals & Mining,97.0,96.0,98.0,97.0,646324.0,896610.0,14.94,4.44,1640914432.0,No,17.06827309236947,82.93172690763053
140,SVM,10.41,5094681.0,Basic Materials,Silver,97.0,90.0,97.0,96.0,6286527.0,9257790.0,14.0,3.15,2293440512.0,No,25.64285714285714,74.35714285714286
142,CMPX,6.52,1986289.0,Healthcare,Biotechnology,97.0,93.0,97.0,97.0,2234973.0,2366600.0,6.88,1.33,1159660800.0,No,5.232558139534889,94.76744186046511
143,IAG,19.12,6872525.0,Basic Materials,Gold,97.0,86.0,96.0,97.0,8373619.0,11044250.0,22.43,5.02,11338657792.0,No,14.757021845742305,85.2429781542577
144,MUX,25.26,955561.0,Basic Materials,Other Precious Metals & Mining,97.0,96.0,95.0,97.0,1304829.0,1698930.0,29.7,6.38,1495858048.0,No,14.949494949494943,85.05050505050505
145,MKSI,242.96,1487425.0,Technology,Scientific & Technical Instruments,97.0,97.0,97.0,97.0,1143972.0,2130400.0,246.35,54.84,16319495168.0,No,1.3760909275421094,98.62390907245789
146,TOYO,9.74,200436.0,Technology,Solar,97.0,98.0,93.0,96.0,51621.0,182590.0,10.21,2.57,368107584.0,No,4.603330068560241,95.39666993143976
147,NGD,10.57,23827105.0,Basic Materials,Gold,97.0,87.0,96.0,96.0,20357819.0,27785150.0,13.63,2.6,8397696512.0,No,22.45047688921497,77.54952311078503
148,VSCO,62.44,853542.0,Consumer Cyclical,Apparel Retail,97.0,58.0,97.0,98.0,2401604.0,2007870.0,66.89,13.76,5011991552.0,No,6.652713410076248,93.34728658992375
