Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO
4963,WAGN,14.9,83876.0,ETF,ETF,47.0,67.0,,,102365.0,104870.0,14.99,13.6,,No
4965,BEDY,27.71,25215.0,ETF,ETF,47.0,47.0,51.0,,39948.0,38320.0,28.75,26.01,,No
4972,BAVA,26.44,2605.0,ETF,ETF,46.0,,,,,,26.45,25.69,,No
4995,CLIM,25.52,200.0,ETF,ETF,46.0,48.0,,,1879.0,330.0,25.52,23.3,,No
5003,ABUF,26.08,198.0,ETF,ETF,46.0,,,,1320.0,1320.0,26.08,25.12,,No
5008,VSNT,41.08,2124993.0,Communication Services,Entertainment,46.0,80.0,92.0,,2836183.0,1891510.0,59.0,27.17,5937202176.0,No
5012,BCEM,25.95,8055.0,ETF,ETF,46.0,,,,281120.0,281120.0,26.04,24.8,,No
5020,BRES,25.82,420.0,ETF,ETF,46.0,67.0,,,15010.0,23280.0,25.86,23.22,,No
5032,DDTA,19.85,2848.0,ETF,ETF,46.0,,,,75350.0,75350.0,19.88,19.0,,No
5044,GSUI,14.53,29597.0,ETF,ETF,46.0,13.0,,,36829.0,13740.0,15.42,12.2,,No
5059,NBIE,25.76,18710.0,ETF,ETF,46.0,58.0,,,352059.0,28140.0,26.42,23.51,,No
5063,AINT,26.26,274.0,ETF,ETF,45.0,53.0,,,4114.0,4230.0,27.5,23.43,,No
5079,QBIV,26.18,1829.0,ETF,ETF,45.0,,,,21020.0,21020.0,26.31,24.97,,No
5092,CHNL,22.23,1.0,ETF,ETF,45.0,,,,780.0,780.0,22.23,19.86,,No
5132,PFDE,25.77,10716.0,ETF,ETF,45.0,70.0,65.0,,61326.0,20960.0,25.81,22.76,,No
5137,QBSV,25.98,4930.0,ETF,ETF,45.0,,,,24710.0,24710.0,26.0,25.04,,No
5139,HCACU,10.35,6654.0,Financial Services,Shell Companies,45.0,39.0,65.0,,15808.0,310.0,11.2,10.0,263145040.0,No
5158,BCGS,26.12,2160.0,ETF,ETF,45.0,61.0,,,54080.0,6450.0,26.21,23.5,,No
5176,ARLI,25.9,1887.0,ETF,ETF,44.0,,,,22730.0,22730.0,26.09,24.83,,No
5177,EDGQ,26.02,5428.0,ETF,ETF,44.0,57.0,,,3115.0,2940.0,27.13,23.23,,No
5199,GAVA,23.8,638.0,ETF,ETF,44.0,10.0,,,1954.0,2540.0,24.89,20.6,,No
