Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,Earning_Date,SMA50,SMA200,SMA10W,SMA30W
8175,BTGO,12.97,563833.00,Financial Services,Capital Markets,13.00,97.00,82.00,,551243.00,488990.00,24.50,7.25,1497606656.00,No,,10.22,,10.28,
8176,PESI,11.00,198192.00,Industrials,Waste Management,13.00,7.00,4.00,14.00,164878.00,190720.00,16.50,8.02,204210384.00,No,,12.29,12.53,11.93,13.07
8177,TMFM,20.74,23779.00,ETF,ETF,13.00,49.00,21.00,16.00,11935.00,14340.00,27.07,19.66,,No,,20.95,23.41,20.73,22.46
8178,KLRA,22.93,480742.00,Healthcare,Biotechnology,13.00,,,,1377187.00,563910.00,28.23,20.87,2970290688.00,Yes,,,,,
8179,LBRDP,21.50,37673.00,Communication Services,Telecom Services,13.00,8.00,14.00,15.00,14521.00,25190.00,25.55,21.05,,No,,23.30,24.20,22.96,23.83
8180,SNAP,5.75,42210198.00,Communication Services,Internet Content & Information,13.00,88.00,80.00,8.00,50831495.00,47764770.00,10.41,3.81,9528675328.00,No,,5.22,6.96,5.22,6.49
8181,IR,74.70,2333716.00,Industrials,Specialty Industrial Machinery,13.00,5.00,6.00,22.00,3601108.00,4220900.00,100.96,72.45,29232859136.00,No,,82.80,82.48,80.43,83.15
8182,YELP,25.28,1557949.00,Communication Services,Internet Content & Information,13.00,22.00,67.00,10.00,1390255.00,1075640.00,41.22,19.60,1411463168.00,No,,25.92,28.94,26.13,27.41
8183,MHLA,12.53,338.00,,,13.00,63.00,22.00,13.00,3490.00,2320.00,15.70,9.93,,No,,11.79,13.65,11.77,12.99
8184,SOLC,19.43,1257.00,ETF,ETF,13.00,85.00,83.00,,2413.00,1060.00,28.66,15.02,,No,,17.08,,17.27,
8185,ESPO,90.29,11235.00,ETF,ETF,13.00,38.00,20.00,11.00,21631.00,22020.00,122.99,86.92,,No,,91.30,105.07,90.89,99.63
8186,CRVL,56.99,167729.00,Financial Services,Insurance Brokers,13.00,73.00,90.00,9.00,235083.00,167640.00,117.22,44.83,2920563968.00,No,,54.88,68.84,55.32,62.53
8187,BCFN,21.17,158.00,ETF,ETF,13.00,49.00,17.00,,3751.00,1630.00,25.57,20.04,,No,,21.38,,21.16,
8188,VCEL,32.92,741971.00,Healthcare,Biotechnology,13.00,17.00,19.00,14.00,644751.00,790320.00,45.97,28.95,1681165952.00,No,,33.80,35.61,33.44,35.86
8189,ABG,197.49,220448.00,Consumer Cyclical,Auto & Truck Dealerships,13.00,15.00,13.00,15.00,256673.00,390130.00,274.50,184.61,3677026816.00,No,,199.74,228.17,199.12,221.35
8190,CPZ,13.61,101782.00,Financial Services,Asset Management,13.00,16.00,16.00,16.00,88496.00,82100.00,16.82,13.13,267194160.00,No,,13.96,15.14,13.82,14.58
8191,WWW,16.20,1098486.00,Consumer Cyclical,Footwear & Accessories,13.00,12.00,14.00,46.00,1112355.00,895770.00,32.80,13.47,1328092288.00,No,,16.88,20.94,16.66,17.71
8192,ATR,119.96,488437.00,Healthcare,Medical Instruments & Supplies,13.00,7.00,12.00,45.00,510348.00,674640.00,164.28,103.23,7655884800.00,No,,127.38,129.73,124.39,125.92
8193,OBDC,11.12,3678152.00,Financial Services,Asset Management,13.00,50.00,22.00,18.00,6052723.00,3861260.00,15.19,10.52,5518916096.00,No,,11.30,12.54,11.20,11.96
8194,DXD,19.18,1548306.00,ETF,ETF,13.00,9.00,54.00,15.00,2871730.00,1072030.00,27.64,18.62,,No,,20.69,21.25,20.69,20.47
8195,HFSP,14.34,1.00,ETF,ETF,13.00,10.00,21.00,14.00,103.00,100.00,18.57,14.34,,No,,15.16,16.24,15.10,15.44
8196,FMS,21.76,807709.00,Healthcare,Medical Care Facilities,13.00,8.00,16.00,16.00,622220.00,904820.00,30.46,20.02,11687932928.00,No,,22.62,24.03,22.50,23.36
8197,HLN,8.98,11758389.00,Healthcare,Drug Manufacturers - Specialty & Generic,13.00,7.00,9.00,21.00,8819701.00,10920420.00,11.42,8.71,39857385472.00,No,,9.83,9.79,9.65,9.94
8198,SOEZ,17.08,36861.00,ETF,ETF,13.00,86.00,83.00,,18711.00,14460.00,25.33,13.08,,No,,15.00,,15.15,
