Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,Earning_Date,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume
56,SNOU,64.40,65.33,28742,ETF,ETF,98.00,97.00,98.00,98.00,4.90,4.73,190625.00,53170.00,76.31,10.51,0,NO,59.21,47.42,37.66,50.18,32.18,,329,0.00,28742,NO,NO,2026-05-28,1302300
57,SAIH,22.14,20.28,88287,Technology,Information Technology Services,98.00,98.00,98.00,98.00,2.27,1.99,5617.00,16110.00,24.04,5.65,40677644,NO,19.45,15.11,10.39,15.70,11.33,,1292,0.00,88287,NO,NO,2023-04-26,3801647
58,RLYB,17.00,16.77,17628,Healthcare,Biotechnology,98.00,80.00,87.00,98.00,0.50,0.48,48072.00,23810.00,17.57,3.67,90278480,NO,16.43,16.12,9.89,16.25,12.04,,1267,0.00,17628,NO,NO,2025-07-08,18984488
59,XNCR,27.52,25.41,2319236,Healthcare,Biotechnology,98.00,98.00,98.00,98.00,1.39,1.37,974924.00,1127320.00,27.59,7.13,2046205568,NO,21.46,17.37,14.32,18.73,14.30,,3195,0.53,2319236,NO,NO,2019-07-01,9135200
60,ALOT,28.89,28.88,52164,Technology,Computer Hardware,98.00,46.00,98.00,98.00,0.07,0.07,157445.00,88010.00,28.99,6.96,226532288,NO,28.84,26.39,14.21,28.70,17.35,,11308,0.00,52164,NO,NO,2026-06-17,2394600
61,HYMC,27.90,24.19,3011666,Basic Materials,Gold,98.00,96.00,4.00,1.00,2.01,1.50,1962911.00,1742600.00,58.73,3.60,2599768832,NO,23.61,23.14,28.92,23.51,32.01,,2122,8.06,3011544,NO,NO,2022-03-29,38618670
62,PANG,33.80,36.57,14018,ETF,ETF,98.00,15.00,98.00,98.00,2.65,2.52,58461.00,26680.00,41.59,6.05,0,NO,33.45,29.60,16.19,30.94,17.95,,353,0.00,14018,NO,NO,2026-02-18,646000
63,FCEL,20.30,21.70,10732125,Industrials,Electrical Equipment & Parts,98.00,9.00,83.00,98.00,2.53,2.44,11764050.00,8126580.00,37.88,3.78,1623070080,NO,21.13,21.84,12.83,22.17,14.95,,8597,0.00,10732125,YES,NO,2026-06-26,27123800
64,STX,832.56,903.68,5923710,Technology,Computer Hardware,98.00,8.00,78.00,97.00,70.02,63.80,4750640.00,4651490.00,1145.00,152.50,188991127552,NO,855.35,890.67,559.98,881.49,675.57,,5959,0.00,5923710,NO,NO,2012-06-29,89629700
65,WDC,462.09,496.16,6716910,Technology,Computer Hardware,98.00,2.00,33.00,94.00,42.85,35.97,8600280.00,9406250.00,799.87,73.14,166602358784,NO,494.05,550.01,355.17,540.13,425.52,,12048,0.00,6716910,NO,NO,2009-06-30,65696343
66,TRAX,45.50,43.88,790908,Healthcare,Biotechnology,98.00,94.00,98.00,,3.39,3.29,747979.00,613800.00,49.91,14.72,1625753344,NO,43.78,31.00,,34.37,,,93,3.12,799872,NO,NO,2026-07-09,4512600
67,ALMS,23.99,24.88,927946,Healthcare,Biotechnology,98.00,1.00,74.00,7.00,1.71,1.65,1300017.00,845720.00,31.35,3.76,3105151488,NO,26.61,26.30,21.36,26.64,25.26,,537,0.00,927946,NO,NO,2026-01-06,65139600
68,PSNL,15.81,13.91,8216813,Healthcare,Diagnostics & Research,98.00,51.00,98.00,96.00,0.72,0.64,3841867.00,1970000.00,16.39,4.44,1688505984,NO,13.33,12.77,9.31,13.47,9.65,,1799,9.63,8216813,NO,NO,2024-07-19,22803000
69,BDSX,25.54,22.34,197619,Healthcare,Diagnostics & Research,98.00,95.00,97.00,97.00,2.10,2.02,75985.00,100180.00,26.40,5.26,269475552,NO,22.73,20.51,13.61,22.01,16.69,,1455,0.00,197619,NO,NO,2026-01-12,75528700
70,UMAC,28.30,30.58,4474528,Technology,Computer Hardware,98.00,98.00,98.00,97.00,3.22,2.96,6182719.00,6138650.00,34.93,7.25,1413769088,NO,24.83,22.55,16.51,23.09,18.65,,630,0.00,4474528,NO,NO,2024-11-29,62631500
71,AMDL,48.14,51.96,2285366,ETF,ETF,98.00,0.00,53.00,98.00,5.96,4.93,4262420.00,3254860.00,83.79,8.88,0,NO,53.96,62.09,33.27,61.13,40.23,,608,0.00,2285366,NO,NO,2025-10-06,106498200
72,NDLS,15.61,16.29,29346,Consumer Cyclical,Restaurants,98.00,96.00,92.00,98.00,1.26,1.23,52087.00,48990.00,19.00,3.57,93139560,NO,16.58,14.65,9.26,15.32,11.01,,3305,0.00,29346,NO,NO,2025-10-22,3716763
73,RACC,24.60,24.49,4654,Financial Services,Shell Companies,98.00,98.00,,,3.60,3.46,41040.00,41160.00,33.50,10.21,256382624,NO,21.50,15.04,,16.37,,,60,0.00,4654,NO,NO,2026-05-20,713600
74,NCEW,17.31,17.31,72,Industrials,Integrated Freight & Logistics,98.00,60.00,81.00,97.00,0.64,0.21,3330.00,10410.00,20.83,2.80,55392000,NO,16.85,17.73,11.19,17.05,14.20,,412,0.00,200,NO,NO,2025-05-07,5841313
75,BNAI,16.01,15.85,70974,Technology,Software - Infrastructure,98.00,98.00,2.00,6.00,1.15,1.13,440661.00,105910.00,86.28,1.18,119883616,NO,13.61,15.53,19.43,15.00,24.80,,1333,0.00,70974,NO,NO,2025-12-29,150430000
76,VSXY,88.61,83.93,1076579,Consumer Cyclical,Apparel Retail,98.00,82.00,98.00,94.00,4.29,4.07,2197377.00,1585620.00,102.46,21.23,7043761152,NO,89.49,83.43,59.13,85.50,64.92,,1273,1.67,1076579,NO,NO,2024-03-07,25901500
77,OMER,18.39,17.19,3195400,Healthcare,Biotechnology,97.00,98.00,96.00,94.00,1.00,0.81,2097951.00,3086130.00,18.86,3.94,1331221120,NO,13.55,11.36,11.42,11.87,11.76,,4240,0.00,3195400,NO,NO,2025-10-15,125221000
78,LRCU,49.97,57.04,92135,ETF,ETF,97.00,8.00,23.00,85.00,6.99,5.18,130190.00,67190.00,113.66,7.68,0,NO,52.09,66.90,43.96,63.73,51.94,,251,0.00,92135,NO,NO,2026-07-30,400400
79,LINT,102.00,110.50,152912,ETF,ETF,97.00,0.00,0.00,98.00,14.08,11.99,165595.00,109420.00,266.71,23.87,0,NO,112.14,154.88,,147.10,112.93,,187,0.00,152912,NO,NO,2026-01-23,456000
80,CRNX,84.69,84.72,2130385,Healthcare,Biotechnology,97.00,42.00,98.00,97.00,0.25,0.24,3858804.00,2241970.00,84.80,28.73,8985203712,NO,84.10,66.85,48.75,70.30,49.31,,2033,0.00,2130385,NO,NO,2026-07-07,80925500
81,MRVL,237.27,216.00,43562582,Technology,Semiconductors,97.00,90.00,93.00,98.00,17.43,13.93,41040109.00,19545880.00,329.88,61.44,212960378880,NO,206.19,234.48,143.55,230.69,168.74,,6572,0.00,43562582,YES,NO,2026-06-18,250989400
82,PILL,23.88,22.44,111170,ETF,ETF,97.00,96.00,98.00,96.00,1.19,0.98,70914.00,43990.00,24.15,7.06,0,NO,20.27,17.86,13.13,19.40,14.35,,2197,4.72,111170,NO,NO,2025-04-09,1023100
83,LVLU,15.57,14.62,37604,Consumer Cyclical,Apparel Retail,97.00,94.00,97.00,53.00,1.80,1.76,29161.00,18680.00,32.32,3.67,44710436,NO,17.49,12.20,10.89,13.11,12.42,,1194,0.00,37604,NO,NO,2026-01-12,22908400
84,NBTX,45.39,41.08,131888,Healthcare,Biotechnology,97.00,94.00,4.00,96.00,2.83,2.37,109732.00,178250.00,57.14,8.03,2305973760,NO,39.22,37.98,30.61,39.03,35.09,,1424,4.77,131888,NO,NO,2023-05-05,39763000
85,AMDG,81.70,88.37,30210,ETF,ETF,97.00,0.00,55.00,98.00,9.78,7.66,72743.00,57380.00,141.38,16.90,0,NO,91.61,105.25,57.09,103.60,68.16,,394,0.00,30210,NO,NO,2025-10-06,1776500
86,SIF,20.74,21.20,109990,Industrials,Aerospace & Defense,97.00,9.00,80.00,97.00,2.47,2.12,135296.00,263410.00,29.00,4.88,0,NO,24.12,22.86,14.01,23.42,17.77,,13484,0.00,109990,NO,NO,2020-12-24,23826800
87,PLSE,47.02,46.00,418243,Healthcare,Medical Instruments & Supplies,97.00,98.00,97.00,97.00,3.10,3.08,370451.00,480620.00,48.84,12.56,3353588992,NO,39.03,31.64,21.75,33.75,25.69,,2575,0.15,418243,NO,NO,2022-09-26,4339700
