Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,Earning_Date,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume
493,BRKRP,441.09,435.18,2010.0,Healthcare,Medical Devices,92.0,86.0,95.0,64.0,14.2318,8.4674,22072.0,9050.0,463.61,250.0,0,NO,435.33,396.32,342.44,414.33,352.9,,215,0.69,2010,NO,NO,2025-09-04,1666700.0
500,PSMT,194.56,191.13,203361.0,Consumer Defensive,Discount Stores,92.0,87.0,88.0,92.0,6.8157,6.6986,278344.0,376610.0,199.84,103.84,6004223488,NO,189.93,175.59,146.38,181.72,159.19,,7260,1.11,203361,NO,NO,2019-09-25,4886600.0
507,PRM,33.32,32.87,808311.0,Basic Materials,Specialty Chemicals,92.0,11.0,91.0,70.0,1.8905,1.8491,1566590.0,1417580.0,38.17,15.43,5435393536,NO,35.01,33.13,27.51,33.6,28.93,,1172,0.0,808311,NO,NO,2022-06-24,15125900.0
515,MPTI,82.85,81.94,174083.0,Technology,Electronic Components,91.0,3.0,87.0,86.0,6.3059,6.0294,123775.0,206320.0,104.85,38.41,358031552,NO,92.33,86.89,66.08,89.16,72.63,,947,0.85,174083,NO,NO,2024-03-26,555100.0
528,NKTR,67.17,68.32,814685.0,Healthcare,Biotechnology,91.0,92.0,5.0,95.0,4.3279,4.1971,1178691.0,1160550.0,109.0,21.02,2269407744,NO,66.78,68.19,62.28,65.2,64.23,,8103,0.0,814685,NO,NO,2025-06-24,37172700.0
532,SEI,69.5,67.15,10444181.0,Energy,Oil & Gas Equipment & Services,91.0,6.0,77.0,88.0,5.2179,4.83,2381757.0,2541100.0,86.19,24.57,6677409792,NO,74.33,73.72,58.01,73.37,62.56,,2304,2.59,10444181,YES,NO,2025-10-07,12906400.0
545,ARKG,41.05,40.59,2710288.0,ETF,ETF,91.0,96.0,95.0,89.0,1.8429,1.7214,3294370.0,4185350.0,44.47,22.73,0,NO,39.92,34.91,30.85,36.39,31.49,,2940,0.0,2710288,NO,NO,2020-12-29,15040000.0
546,WOLF,34.31,33.65,2277758.0,Technology,Semiconductors,91.0,1.0,94.0,96.0,4.8384,4.5419,7700711.0,4168960.0,80.82,8.05,1783162880,NO,43.53,50.5,,50.25,30.99,,198,0.0,2277758,NO,NO,2025-09-30,47733800.0
573,BLBD,77.28,76.56,195885.0,Industrials,Farm & Heavy Construction Machinery,91.0,87.0,86.0,94.0,2.9047,2.7304,457986.0,421710.0,81.51,42.0,2445648384,NO,76.63,72.09,58.88,73.07,62.02,,3097,0.0,195885,NO,NO,2023-12-12,3311600.0
580,ROKU,141.76,142.34,1730177.0,Communication Services,Entertainment,90.0,94.0,93.0,86.0,2.1917,2.1131,4427060.0,3516610.0,148.88,78.53,21028982784,NO,138.8,131.13,108.34,134.4,113.39,,2208,0.0,1730177,NO,NO,2022-02-18,66585200.0
582,LFSC,45.63,45.193,1837.0,ETF,ETF,90.0,93.0,89.0,85.0,0.9279,0.7841,4011.0,10050.0,47.68,24.22,0,NO,44.36,40.82,36.47,41.74,37.92,,424,0.28,1837,NO,NO,2026-02-19,65400.0
585,AVBP,32.54,33.64,285128.0,Healthcare,Biotechnology,90.0,87.0,87.0,94.0,1.561,1.5592,550150.0,488150.0,35.83,16.1,1515548160,NO,33.2,30.76,24.58,31.24,26.44,,617,0.0,285128,NO,NO,2024-09-20,4315400.0
590,XBIX,36.41,36.27,447.0,ETF,ETF,90.0,97.0,,,1.7493,1.1414,2188.0,1100.0,41.02,25.13,0,NO,35.4,,,,,,28,0.0,447,NO,NO,2026-06-26,30300.0
591,TFII,149.25,147.62,293105.0,Industrials,Trucking,90.0,10.0,86.0,89.0,3.9507,3.75,389573.0,357150.0,167.69,80.63,12266265600,NO,145.93,147.21,115.96,148.91,127.49,,5195,0.0,293105,NO,NO,2020-02-13,2600800.0
600,KNX,75.22,74.33,2071484.0,Industrials,Trucking,90.0,6.0,87.0,88.0,2.5236,2.3593,4268677.0,3473950.0,82.86,38.63,12222798848,NO,75.86,73.15,58.16,75.24,64.13,,7981,1.04,2071484,NO,NO,2018-07-26,20546000.0
606,AMG,366.0,359.78,127299.0,Financial Services,Asset Management,90.0,84.0,90.0,80.0,9.6429,9.46,333726.0,301200.0,369.94,199.59,9666823168,NO,351.99,327.41,291.57,336.2,309.17,,7202,0.06,127299,NO,NO,2019-12-20,8956800.0
611,LSTR,211.41,212.87,550027.0,Industrials,Integrated Freight & Logistics,90.0,9.0,89.0,90.0,5.2386,5.1614,491283.0,405950.0,228.46,119.32,7172762624,NO,208.92,201.66,160.49,206.48,174.83,,8396,0.0,550027,NO,NO,1993-09-29,29786400.0
614,WST,357.65,359.7,549971.0,Healthcare,Medical Instruments & Supplies,90.0,87.0,93.0,87.0,8.2975,7.9296,851701.0,701190.0,367.66,206.8,25267109888,NO,347.85,328.18,279.52,334.13,285.65,,11675,0.0,549971,NO,NO,2020-05-21,16495700.0
615,VAC,96.98,97.65,221861.0,Consumer Cyclical,Resorts & Casinos,90.0,79.0,94.0,92.0,4.1929,4.1043,503255.0,403340.0,105.97,44.58,3330590464,NO,98.11,87.42,68.43,90.86,73.29,,3689,0.0,221861,NO,NO,2018-08-31,7085300.0
621,GCBC,32.37,32.84,23613.0,Financial Services,Banks - Regional,90.0,90.0,93.0,92.0,1.5561,1.5561,34503.0,59160.0,36.02,21.25,551114880,NO,31.63,28.04,24.11,29.52,25.13,,6800,0.0,23613,NO,NO,2021-06-25,806600.0
637,AIFD,52.11,51.49,4019.0,ETF,ETF,90.0,21.0,87.0,90.0,1.6742,1.3827,26154.0,17290.0,57.8,28.86,0,NO,53.12,52.19,42.06,52.4,44.55,,548,0.47,4019,NO,NO,2026-06-22,119600.0
672,CTEF,90.35,89.871,763.0,ETF,ETF,89.0,74.0,86.0,87.0,1.6021,1.0239,2416.0,5100.0,94.37,53.39,0,NO,91.79,86.47,73.56,87.64,77.57,,268,0.22,763,NO,NO,2025-12-31,138700.0
