Rank,Industry,Sector,RS,1 M_RS,3M_RS,6M_RS,Ticker
38,Communication Equipment,Technology,59,31,49,61,"ONDS,LITE,VSAT,COMM,CIEN,OCC,ASTS,VIAV,TSAT,GILT,BKTI,FEIM,UI,NOK,DGII,CSCO,ERIC,AVNW,HPE,EXTR,INSG,NTGR,SILC,BDC,AAOI,AUDC,HLIT,CLFD,MSI,ADTN,ZBRA,SONM"
39,Utilities - Regulated Electric,Utilities,59,56,62,50,"ELPC,ELP,NWE,CEPU,NEE,KEP,AEP,POR,ETR,XEL,EVRG,CNP,EMA,FE,EDN,NGG,FTS,EXC,AEE,D,WEC,LNT,IDA,TXNM,VIASP,CMS,DUK,PPL,ES,DTE,HE,EIX,OGE,SOMN,ED,SO,PEG,PNW,PCG,MGEE,GNE,IMSR"
40,Oil & Gas Equipment & Services,Energy,58,52,64,65,"FET,EFXT,PUMP,NPKI,FTI,FTK,WFRD,LBRT,XPRO,OIS,BKR,CLB,NOV,HAL,OII,RES,SLB,TS,RNGR,LB,VAL,SEI,USAC,NESR,WTTR,NCSM,AROC,KGS,TDW,INVX,HLX,NGS,LSE,NOA,WHD,FLOC,NEXT,VTOL,WBI,GEOS,AESI"
41,Oil & Gas Integrated,Energy,58,70,60,58,"E,BP,EC,XOM,SHEL,TTE,SU,IMO,CVE,YPF,NFG,PBR,CVX,TGS,DEC,EQNR"
42,Aerospace & Defense,Industrials,58,21,47,60,"DPRO,PL,ATRO,OPXS,RKLB,AVAV,HWM,CW,ESLT,EMBJ,GE,HII,MRCY,BWXT,CDRE,RTX,PKE,NOC,CODA,TXT,CAE,NPK,RCAT,LMT,GD,TDG,LHX,HEI,WWD,KTOS,KRMN,SPR,VVX,ISSC,BA,SARO,HXL,VSEC,AIR,DCO,TATT,VWAV,MOB,SIF,ACHR,DRS,SWBI,EH,LOAR,RGR,LUNR,BYRN,AXON,BETA,VOYG,RDW,AIRO,FLY"
43,Auto Manufacturers,Consumer Cyclical,58,28,50,45,"TSLA,GM,RIVN,F,TM,HMC,STLA,XPEV,NIO,ZK,CYD,RACE,LI,LCID,SSM"
44,REIT - Healthcare Facilities,Real Estate,58,76,55,62,"WELL,VTR,AHR,CTRE,NHPBP,NHPAP,OHI,HR,SBRA,NHI,MPW,LTC,DOC,SILA,STRW,UHT,CHCT,GMRE"
45,Auto Parts,Consumer Cyclical,57,44,36,60,"QS,CPS,BWA,ATMU,AXL,APTV,PLOW,ORLY,AAP,ALV,SMP,AZO,LEA,PHIN,ADNT,GPC,MGA,MOD,DORM,MBLY,LKQ,ALSN,GNTX,GTX,DAN,HSAI,VC,GT,XPEL,THRM,SLDP,MNRO,MLR,STRT,MPAA,SRI,FOXF"
46,Discount Stores,Consumer Defensive,56,45,40,40,"PSMT,DLTR,DG,WMT,TBBB,OLLI,COST,BJ,TGT"
47,Semiconductors,Technology,55,25,50,60,"NVTS,CRDO,AVGO,AMD,INTC,RMBS,ASX,TSM,MU,MPWR,NVDA,PI,MRVL,ALAB,QCOM,QRVO,ADI,QUIK,ARM,ON,MCHPP,NVEC,NXPI,DIOD,PXLW,TXN,MCHP,STM,GFS,UMC,MTSI,TSEM,SWKS,LSCC,SITM,CRUS,SMTC,ALGM,SLAB,SIMO,SYNA,VSH,LASR,HIMX,MXL,IMOS,SKYT,AIP,WOLF,ALMU,GSIT,MRAM,WKEY,CEVA,AOSL,POWI,AMBQ,SQNS"
