Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,Earning_Date,SMA50,SMA200,SMA10W,SMA30W
1687,WQTM,35.07,318830,ETF,ETF,82.0,93.0,92.0,84.0,61518.0,197790.0,38.55,23.18,,No,,28.51,,29.07,27.7
1693,IONX,65.02,1627596,ETF,ETF,82.0,99.0,98.0,4.0,2222952.0,2785830.0,311.87,16.81,,No,,36.2,89.02,37.0,63.66
1718,R,227.3,257174,Industrials,Rental & Leasing Services,82.0,66.0,67.0,88.0,398453.0,428570.0,259.0,143.34,8794468352.0,No,,217.38,194.96,219.91,200.28
1731,P,84.43,2162896,Technology,Computer Hardware,82.0,96.0,81.0,18.0,3119351.0,3350730.0,100.59,50.2,28043644928.0,No,,66.74,73.76,67.91,72.86
1763,FTXN,36.32,96860,ETF,ETF,81.0,64.0,76.0,86.0,709516.0,3797770.0,40.13,25.81,,No,,36.61,30.87,36.62,32.17
1766,SAA,31.69,5247,ETF,ETF,81.0,66.0,62.0,84.0,6445.0,7600.0,33.68,19.45,,No,,29.48,27.12,29.66,28.18
1767,ALSN,122.47,970937,Consumer Cyclical,Auto Parts,81.0,17.0,69.0,92.0,890081.0,981060.0,137.62,76.01,10157169664.0,No,,122.46,101.56,122.54,108.19
1774,ILDR,37.24,88332,ETF,ETF,81.0,87.0,86.0,65.0,49445.0,32990.0,37.42,25.89,,No,,32.59,32.39,32.95,32.81
1776,IGE,61.92,91821,ETF,ETF,81.0,52.0,58.0,85.0,354220.0,244090.0,63.99,42.16,,No,,61.43,53.37,61.33,56.01
1780,EDGH,35.83,17383,ETF,ETF,81.0,64.0,75.0,81.0,45556.0,99100.0,35.94,25.7,,No,,34.54,31.04,34.6,32.43
1781,FESM,44.13,501471,ETF,ETF,81.0,79.0,79.0,79.0,660200.0,727760.0,45.14,29.7,,No,,40.53,38.14,40.81,39.36
1825,HYP,30.75,2355,ETF,ETF,81.0,90.0,85.0,85.0,13370.0,2900.0,31.16,21.06,,No,,26.46,,26.73,25.58
1832,LSTR,174.99,279872,Industrials,Integrated Freight & Logistics,81.0,65.0,75.0,88.0,488778.0,484420.0,195.84,119.32,5937097216.0,No,,166.29,144.81,167.73,152.07
1879,ACA,128.86,138176,Industrials,Engineering & Construction,80.0,87.0,52.0,86.0,338263.0,368770.0,135.58,81.91,6326557696.0,No,,113.5,105.97,114.6,111.57
1884,FCAP,55.78,3186,Financial Services,Banks - Regional,80.0,69.0,70.0,85.0,4818.0,2920.0,71.0,33.73,186613712.0,No,,51.89,48.78,52.52,52.36
1889,OR,39.2,478986,Basic Materials,Gold,80.0,23.0,15.0,81.0,1168713.0,870600.0,48.06,22.52,7349838336.0,No,,39.03,37.03,38.54,38.11
1916,LTH,33.79,2932054,Consumer Cyclical,Leisure,80.0,92.0,84.0,88.0,3318600.0,4796480.0,34.08,24.14,7521746432.0,No,,27.63,27.38,28.13,27.45
1926,CE,59.97,1712584,Basic Materials,Chemicals,80.0,11.0,40.0,91.0,2607843.0,2440090.0,70.7,35.13,6576462336.0,No,,61.53,48.92,61.87,50.74
