Rank,Industry,Sector,RS,1 M_RS,3M_RS,6M_RS,Ticker
49,Home Improvement Retail,Consumer Cyclical,58,35,32,34,"HD,LOW,FND,HVT,TTSH,LIVE"
50,Biotechnology,Healthcare,57,50,37,36,"ALNY,INSM,BBIO,VRNA,RYTM,AAPG,NAMSW,VRTX,ARGX,BNTX,GMAB,EXEL,ROIV,JAZZ,AXSM,ACLX,XENE,AGIO,IDYA,HRMY,BLTE,INVA,ELVN,OCS,IMNM,DNTH,FTRE,MAZE,ORKA,TECX,MBX,ITOS,CADL,FHTX,NGNE,ENTA,RAPT,GLSI,NTRB,ALGS,TPST,GBIO,TENX,LYRA,DWTX,XOMAP,XOMAO,REGN,ONC,RPRX,SMMT,INCY,ASND,BMRN,CAI,MRNA,MDGL,TECH,HALO,CORT,RVMD,IONS,LEGN,RNA,ABVX,NUVL,MRUS,CRSP,TGTX,CYTK,KRYS,ACAD,ADMA,PCVX,TLX,PTCT,AKRO,ZLAB,SLNO,MIRM,PTGX,MLTX,MENS,APLS,MTSR,SRRK,KYMR,LGND,ARWR,VKTX,CRNX,RARE,NAMS,IMVT,CPRX,TARS,FOLD,LQDA,APGE,CNTA,DNLI,CELC,OCUL,GLPG,IRON,CGON,MESO,ADPT,SRPT,ARQT,VCEL,DYN,COGT,BEAM,CDTX,IMCR,BHVN,WVE,AUPH,TVTX,VRDN,EWTX,CLDX,PHVS,ARDX,JANX,VERA,SNDX,ETNB,SPRY,NVAX,XERS,CVAC,ZYME,LENZ,GPCR,NTLA,RCUS,MDXG,SION,STOK,SYRE,PRAX,CRMD,VALN,MLYS,UPB,ORIC,PHAR,TRVI,URGN,QURE,PHAT,AMLX,AVXL,AVBP,EYPT,GHRS,NAGE,MNMD,NRIX,TNGX,RIGL,GYRE,DNA,DAWN,ZBIO,BBOT,TBPH,IMTX,KALV,KURA,BCAX,KROS,MGTX,TYRA,RZLT,TERN,XNCR,TRML,PVLA,ANAB,VSTM,KOD,RAPP,ARVN,SEPN,ZVRA,ATYR,NKTR,ARCT,BCYC,CGEM,NBTX,PRTA,SLDB,PRTC,RGNX,REPL,ASMB,IMAB,CRVS,XOMA,AURA,OLMA,YMAB,ATXS,FULC,ABEO,INBX,ALDX,BNTC,TNXP,FDMT,CAPR,DMAC,DRUG,HIND,DSGN,RNAC,DBVT,CTNM,JBIO,PBYI,TVRD,SLN,FENC,TRDA,SGMT,AARD,CBIO,LYEL,MNPR,ELTX,EPRX,MDWD,KRRO,TIL,NVCT,ACTU,MCRB,CYBN,IMA,FBRX,ACOG,AVTX,CRBP,COYA,NTHI,CSBR,SRZN,ATRA,CRVO,EXOZ,ATHE,QNTM,PTHS,INKT,CVM,COEP,KALA,SLGL,SER,ICCC,KPTI,VRCA,RADX,FGEN,PLUR,VTVT,FBIOP,MRSN,XCUR,HYPD,CVKD,PASG,PRTG,CYCC,IMNN,NXTC,NEUP,ARTL,KZIA,CYCCP,SNSE,CERO,BOLT,RNAZ,INDP,APLM,SLXN,QNRX,BDRX,DRMA,CNSP,SLRX"
51,Building Products & Equipment,Industrials,57,51,39,33,"TT,JCI,CARR,LII,CSL,BLDR,MAS,OC,WMS,SPXC,AWI,FBIN,AAON,TREX,LPX,GMS,GFF,ROCK,ARLO,JBI,LMB,NX,APOG,SWIM,ASPN,JELD,PPIH"
52,Broadcasting,Communication Services,56,46,38,37,"NXST,TGNA,NMAX,SBGI,GTN,SGA"
53,Banks - Regional,Financial Services,56,50,49,67,"HDB,MFG,PNC,DB,ITUB,NU,NWG,TFC,MTB,FITB,KB,HBAN,RF,SHG,CFG,KEY,BAP,EWBC,WF,CIB,FHN,BSAC,WBS,WAL,UMBF,WTFC,CMA,ONB,ZION,BPOP,BOKF,CADE,FNB,OZK,VLY,HWC,FLG,AX,ABCB,SFBS,IBOC,IFS,BANF,ASB,TCBI,UCB,RNST,FBP,INTR,INDB,CATY,FIBK,TBBK,FBK,TOWN,SBCF,PFS,BANC,TRMK,SYBT,FBNC,EFSC,CUBI,NIC,CHCO,LC,FCF,VBTX,LOB,BLX,CCB,STEL,RBCAA,DCOM,BFC,OBK,PFBC,CTBI,TMP,OSBC,NBN,UVSP,ESQ,HBT,CFFN,CPF,MBWM,MCB,CCNE,HAFC,CCBG,HTB,TRST,GSBC,FSBC,THFF,SPFI,SMBK,HIFS,NPB,CBNK,GBFH,SHBI,TCBX,GNTY,BCAL,PFIS,UNTY,NRIM,ACNB,BSVN,BWB,RRBI,CARE,HBCP,FBIZ,BSRR,FRBA,CWBC,BMRC,SFST,RBB,PDLB,PBFS,BCML,BWFG,PCB,MVBF,CBAN,AVBH,MBCN,TSBK,PKBK,COSO,HMST,FINW,CHMG,WNEB,FVCB,ISBA,OVLY,FUNC,ISTR,PVBC,VABK,HWBK,MYFW,OPBK,OPOF,FXNC,FCCO,FRAF,EFSI,NKSH,CBNA,ATLO,MNSB,MRBK,OVBC,PEBK,BVFL,CBFV,CZWI,LARK,RBKB,ECBK,RMBI,SBFG,SRBK,BSBK,MGYR,LSBK,CFSB,AUBN,UBCP,IROQ,SSBI,FDSB,BYFC,CPBI,FSEA,CLST,PBBK,MBBC,MBNKO,CNOBP,IBN,USB,BCH,SSB,GBCI,COLB,FULT,WSFS,MNSBP,EFSCP,BKU,FRME,BANR,OFG,CASH,LKFN,GABC,TCBK,QCRH,BY,CNOB,FMBH,BHRB,AMTB,MPB,ORRF,ALRS,FMNB,HONE,AROW,FNLC,JMSB,LNKB,FRST,FDBC,WSBF,BPRN,CFFI,LCNB,FSFG,EBMT,BOTJ,TCBS,WTFCN,OZKAP,SNV,HOMB,FFIN,AUB,EBC,UMBFO,FULTP,BWBBP,CFR,UBSI,VLYPP,FHB,CVBF,FFBC,PPBI,OCFC,MCBS,BFST,FCNCO,TFSL,PRK,SRCE,BRKL,HFWA,NBBK,SMBC,MOFG,HTBK,FISI,BHB,FMAO,USCB,NEWT,FSBW,CZNC,CZFS,UBFO,FNWD,PROV,NSTS,TECTP,HBANL,FCAP,HFBL,PNFPP,HBANM,BUSEP,SFNC,HBANP,FRMEP,FCNCP,CCNEP,VLYPN,FCNCA,ONBPP,CBU,WSBC,WAFD,TCBIO,DCOMP,FITBP,ONBPO,WSBCP,BSBR,FITBI,VLYPO,BOH,NBTB,BUSE,STBA,WABC,BHLB,PEBO,SBSI,EQBK,HBNC,NFBK,FFWM,COFS,CIVB,OBT,PLBC,AVBC,FBLA,HNVR,CFBK,BFIN,WSBK,FUSB,WAFDP,CBSH,ZIONP,MBINM,MSBIP,MBINN,FITBO,PB,FGBIP,MBINL,PNFP,GGAL,BMA,BBAR,NWBI,CLBK,MBIN,NBHC,TFIN,HOPE,FSUN,AMAL,SUPV,FCBC,CAC,IBCP,EGBN,WASH,PGC,FFIC,GCBC,KRNY,MSBI,VBNK,WTBA,NECB,NWFL,INBK,BLFY,BCBP,UNB,AFBI,FGBI,SFBC,RVSB,PBHC,FNWB,BAFN"
54,Coking Coal,Basic Materials,56,48,9,7,"HCC,AMR,METC,METCB,SXC"
55,Resorts & Casinos,Consumer Cyclical,56,61,33,37,"LVS,WYNN,MGM,BYD,RRR,MTN,CZR,HGV,MLCO,PENN,VAC,MCRI,GDEN,BALY,CPHC"
56,Security & Protection Services,Industrials,56,46,53,41,"ALLE,ADT,MSA,BCO,BRC,GEO,CXW,EVLV,NSSC,NL,CIX,MG,KSCP,SPCB"
57,REIT - Healthcare Facilities,Real Estate,56,41,44,57,"NHPBP,NHPAP,WELL,VTR,OHI,DOC,CTRE,AHR,HR,SBRA,NHI,LTC,SILA,GMRE,STRW,UHT,CHCT"
58,Scientific & Technical Instruments,Technology,56,63,51,52,"GRMN,KEYS,TDY,TRMB,FTV,COHR,CGNX,MKSI,VNT,ITRI,BMI,ESE,ST,NOVT,ITRN,MLAB,VPG,MIND,ACFN,LGL,WATT,ASTC"
