Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume
965,SNDA,39.67,414435,Healthcare,Medical Care Facilities,86.0,86.0,80.0,80.0,1.5693,1.5507,716217.0,1214790.0,40.22,23.78,1878225920,NO,36.31,32.5,37.0,34.5,7207,0.67,414435,NO,NO,2026-06-26,3873100.0
966,CIB,79.81,193598,Financial Services,Banks - Regional,86.0,92.0,59.0,82.0,2.7879,2.6886,380961.0,504940.0,87.68,43.2,18936137728,NO,71.59,67.23,72.15,71.73,7782,0.0,193598,NO,NO,2007-07-17,5932400.0
970,FTI,65.23,4981708,Energy,Oil & Gas Equipment & Services,86.0,20.0,8.0,91.0,2.3157,2.1114,4660762.0,5210850.0,77.78,31.88,26007324672,NO,70.53,56.23,68.91,62.9,6295,0.87,4981708,NO,NO,2021-02-11,186299232.0
974,VTVT,36.27,79344,Healthcare,Biotechnology,85.0,83.0,10.0,20.0,2.21,2.2054,51101.0,64670.0,44.0,14.0,142854976,NO,33.81,32.03,33.71,35.1,2744,0.97,79344,NO,NO,2021-04-13,6399033.0
985,OBK,51.39,103448,Financial Services,Banks - Regional,85.0,84.0,82.0,87.0,1.1862,1.1301,171595.0,177310.0,52.0,32.12,1588161280,NO,47.7,40.98,48.55,43.96,2046,0.0,103448,NO,NO,2018-06-22,2217800.0
994,AROW,41.13,81006,Financial Services,Banks - Regional,85.0,88.0,79.0,85.0,1.1068,1.0761,93893.0,159200.0,41.41,25.84,679838592,NO,37.36,32.98,38.13,35.13,11536,0.0,86719,NO,NO,2007-06-22,1390389.0
1005,ASIA,44.26,1342,ETF,ETF,85.0,30.0,83.0,86.0,1.26,0.7461,3898.0,3800.0,47.47,28.95,0,NO,42.84,37.01,43.49,38.64,692,0.0,1342,NO,NO,2024-12-20,1096600.0
1018,TECH,70.9,13853921,Healthcare,Biotechnology,85.0,97.0,88.0,77.0,2.8807,1.9336,3710861.0,8604210.0,72.16,43.2,11046975488,NO,53.29,57.8,55.24,57.57,9414,0.0,13853921,YES,NO,2026-06-25,51699100.0
1032,OPY,104.3,55289,Financial Services,Capital Markets,85.0,91.0,71.0,88.0,4.6143,4.37,90080.0,131660.0,118.77,63.81,1116844928,NO,101.67,84.25,99.97,90.56,11019,0.0,55289,NO,NO,2009-05-11,1261500.0
1033,MYFW,32.18,90315,Financial Services,Banks - Regional,85.0,88.0,84.0,81.0,0.9557,0.9457,43169.0,94610.0,32.32,20.4,313078208,NO,28.92,25.64,29.79,27.01,1996,0.28,90315,NO,NO,2022-06-24,983600.0
1036,INCY,114.66,1404979,Healthcare,Biotechnology,85.0,93.0,82.0,69.0,4.5871,4.2229,1658709.0,2310170.0,115.56,66.83,22907023360,NO,99.64,97.47,102.22,100.1,8216,0.0,1406517,NO,NO,2017-02-27,33193000.0
1041,JETS,33.08,2081239,ETF,ETF,85.0,90.0,87.0,72.0,1.0582,0.8914,3881541.0,3199480.0,33.66,22.86,0,NO,27.95,26.96,29.01,27.99,2807,0.0,2081239,NO,NO,2021-12-06,33592800.0
1045,MS,211.72,5406943,Financial Services,Capital Markets,85.0,73.0,86.0,73.0,6.4539,5.8539,6012646.0,7134140.0,230.47,135.26,333942751232,NO,202.53,177.63,205.77,185.41,8394,0.0,5406943,NO,NO,2008-09-17,329786100.0
1047,BLX,61.61,154934,Financial Services,Banks - Regional,84.0,83.0,79.0,89.0,1.6625,1.6104,171635.0,279500.0,63.17,38.41,2293753088,NO,56.44,49.31,57.16,51.58,8498,0.0,154934,NO,NO,1992-09-24,2366000.0
1049,HOV,145.15,86715,Consumer Cyclical,Residential Construction,84.0,96.0,86.0,90.0,8.6396,8.2989,123311.0,160060.0,162.06,91.52,850520448,NO,114.84,117.87,118.41,115.22,10786,0.0,86715,NO,NO,2013-01-17,2201584.0
1060,FISI,38.83,244125,Financial Services,Banks - Regional,84.0,84.0,80.0,80.0,0.8607,0.845,136014.0,289880.0,39.27,24.62,764421760,NO,35.88,31.95,36.54,33.8,6793,0.0,244125,NO,NO,2006-06-30,1357500.0
1063,FEMR,41.81,44077,ETF,ETF,84.0,32.0,81.0,85.0,1.2954,0.9596,41556.0,58500.0,44.41,27.92,0,NO,40.89,35.34,41.3,37.15,399,0.0,44478,NO,NO,2026-03-03,239100.0
1066,SHOO,42.57,1424992,Consumer Cyclical,Footwear & Accessories,84.0,27.0,83.0,29.0,1.7682,1.6782,1089538.0,1434170.0,47.11,22.26,3111247104,NO,41.25,38.77,42.24,40.19,8190,0.0,1424992,NO,NO,2000-06-22,88704872.0
1101,CTEV,33.82,134617,Healthcare,Health Information Services,84.0,97.0,97.0,6.0,2.5901,2.5901,143396.0,153420.0,74.07,11.5,576556160,NO,25.81,34.36,26.57,25.46,1566,0.0,134617,NO,NO,2024-12-24,2112000.0
1103,DCOM,40.49,179265,Financial Services,Banks - Regional,84.0,84.0,77.0,85.0,0.9821,0.9386,316629.0,458930.0,40.99,25.63,1786155392,NO,37.48,32.73,38.13,34.75,6907,0.0,179265,NO,NO,2021-01-29,3788300.0
1122,ASND,263.7,558886,Healthcare,Biotechnology,83.0,88.0,75.0,81.0,11.3133,11.249,770566.0,1246910.0,271.89,160.86,17292425216,NO,232.29,219.23,235.5,227.09,2871,0.95,558886,NO,NO,2023-04-03,7860200.0
1139,IFS,56.3,129042,Financial Services,Banks - Regional,83.0,92.0,69.0,86.0,2.2475,1.97,343856.0,364770.0,58.16,35.45,6253389312,NO,49.26,45.58,50.54,47.9,1758,0.0,129042,NO,NO,2019-07-19,2450600.0
1143,OBT,37.24,166690,Financial Services,Banks - Regional,83.0,84.0,66.0,85.0,1.3129,1.2886,71808.0,124940.0,40.1,22.98,499310368,NO,34.91,30.52,35.27,33.0,5711,0.05,166690,NO,NO,2023-06-23,1200800.0
1151,TMP,93.63,78126,Financial Services,Banks - Regional,83.0,83.0,76.0,83.0,2.0514,1.9171,71270.0,118120.0,94.33,61.21,1346674688,NO,86.68,76.69,88.09,81.38,10096,0.0,78126,NO,NO,2008-12-01,852610.0
1158,IONS,80.69,2524223,Healthcare,Biotechnology,83.0,74.0,53.0,32.0,2.4085,2.3721,1804606.0,2230380.0,86.74,39.37,13335035904,NO,75.16,75.49,76.1,77.31,8841,0.0,2729935,NO,NO,2016-05-26,27202800.0
1162,CFG,70.43,2204828,Financial Services,Banks - Regional,83.0,90.0,76.0,75.0,1.471,1.3897,4481727.0,4805260.0,71.2,44.58,29783576576,NO,64.62,59.26,65.37,62.6,2957,0.0,2205028,NO,NO,2016-01-29,94875300.0
1169,HVAC,40.76,29742,ETF,ETF,83.0,60.0,74.0,84.0,1.4934,1.0521,9311.0,9290.0,43.41,27.57,0,NO,40.38,35.05,40.33,36.64,351,0.98,29742,NO,NO,2026-02-24,32700.0
1174,CNOB,33.16,499664,Financial Services,Banks - Regional,83.0,87.0,82.0,81.0,0.7229,0.7107,389196.0,632590.0,33.66,22.07,1667566464,NO,30.43,27.21,31.05,28.43,8113,0.0,514959,NO,NO,2026-06-26,1948300.0
1177,THFF,77.6,107120,Financial Services,Banks - Regional,83.0,89.0,80.0,82.0,2.0979,1.9843,96372.0,178340.0,78.36,51.21,922811136,NO,69.53,62.87,71.13,66.27,8641,0.0,108187,NO,NO,2025-03-21,827200.0
1182,TS,55.98,1015322,Energy,Oil & Gas Equipment & Services,83.0,13.0,11.0,91.0,1.5532,1.2668,1707614.0,1180610.0,64.6,33.65,28259815424,NO,61.24,48.38,60.14,52.97,5920,0.0,1015322,NO,NO,2008-11-25,14645400.0
1189,HEEM,44.08,181677,ETF,ETF,83.0,50.0,77.0,84.0,1.2509,0.8841,40327.0,86380.0,46.49,29.8,0,NO,42.84,37.68,43.29,39.34,2956,0.0,181677,NO,NO,2015-04-10,4556300.0
1196,SEEM,39.59,145657,ETF,ETF,82.0,39.0,79.0,83.0,1.2737,0.9614,45358.0,38300.0,41.79,27.13,0,NO,38.6,33.83,38.96,35.38,429,0.04,145657,NO,NO,2024-10-28,7424800.0
1215,PFIS,66.29,59340,Financial Services,Banks - Regional,82.0,87.0,80.0,87.0,1.92,1.86,64462.0,90690.0,67.75,43.64,663621312,NO,59.71,53.16,61.03,55.76,6055,0.0,59340,NO,NO,2014-06-27,1016800.0
1220,FYX,143.32,21117,ETF,ETF,82.0,79.0,76.0,82.0,2.4182,2.2882,35890.0,26890.0,143.42,95.31,0,NO,134.36,120.41,136.04,125.92,4814,0.03,21117,NO,NO,2015-08-24,831900.0
1225,ACNB,59.93,100160,Financial Services,Banks - Regional,82.0,86.0,82.0,78.0,1.475,1.4143,66817.0,95270.0,60.88,40.8,612007808,NO,54.07,49.55,55.58,51.59,8113,0.0,100160,NO,NO,2021-06-25,1186600.0
