Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,Earning_Date,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume
584,MSGS,401.84,299616,Communication Services,Entertainment,91.0,81.0,81.0,92.0,12.1527,12.0459,266567.0,375930.0,403.11,188.59,9674742784,NO,360.28,287.71,368.64,320.38,,2711,0.0,299616,NO,NO,2023-07-31,4346300
597,UFCS,52.44,155596,Financial Services,Insurance - Property & Casualty,91.0,93.0,87.0,90.0,1.4893,1.41,132727.0,200630.0,53.29,25.79,1345409280,NO,45.75,37.99,47.46,40.67,,11665,0.0,155596,NO,NO,2001-10-11,4057200
600,NUTX,170.89,86635,Healthcare,Medical Care Facilities,90.0,96.0,95.0,18.0,8.101,7.7481,158258.0,123140.0,193.07,77.21,1175952000,NO,132.21,125.49,141.53,130.99,,1063,0.0,86635,NO,NO,2025-07-22,1422400
608,MNRS,41.95,12548,ETF,ETF,90.0,4.0,94.0,87.0,2.7546,2.4325,11151.0,7330.0,56.46,23.24,0,NO,43.1,37.67,43.89,35.8,,355,0.0,12548,NO,NO,2025-01-31,115600
621,AAMI,71.52,303359,Financial Services,Asset Management,90.0,30.0,86.0,91.0,3.7081,3.1059,462472.0,910800.0,85.73,34.93,2548185088,NO,71.68,55.56,71.82,59.73,,2947,0.15,303359,NO,NO,2020-06-19,12096900
625,OUT,32.76,1338171,Real Estate,REIT - Specialty,90.0,61.0,80.0,87.0,0.9332,0.8846,1717817.0,2689060.0,34.96,16.25,5767840256,NO,31.63,25.44,32.27,28.23,,3082,0.0,1338171,NO,NO,2014-07-10,35135707
665,MRAL,71.11,72399,ETF,ETF,90.0,7.0,97.0,87.0,13.0054,12.2551,141543.0,109260.0,366.3,22.14,0,NO,67.96,94.54,69.35,53.85,,330,0.0,72399,NO,NO,2026-03-26,505020
666,WCC,345.43,940551,Industrials,Industrial Distribution,90.0,16.0,85.0,88.0,13.8164,11.8543,572087.0,549270.0,377.9,183.0,16824130560,NO,349.58,283.12,355.26,305.17,,6825,0.36,940551,NO,NO,2023-06-16,7823100
668,ADV,43.24,282007,Communication Services,Advertising Agencies,90.0,91.0,92.0,95.0,3.5956,3.5799,111087.0,196530.0,53.62,12.22,574887936,NO,37.73,28.93,39.09,27.45,,1631,0.0,282007,NO,NO,2021-06-25,520216
723,BHYP,36.78,213563,ETF,ETF,89.0,29.0,,,2.8857,2.0507,641526.0,484290.0,43.03,24.18,0,NO,,,,,,31,0.0,213563,NO,NO,2026-06-12,1405900
