IndustryRank,Ticker,Price,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,Gap (%),IPO,HVE
2,BBVA,28.67,Financial Services,Banks - Diversified,88.0,49.0,87.0,87.0,0.5762,0.3619,0.0,NO,NO
3,ING,36.41,Financial Services,Banks - Diversified,88.0,86.0,86.0,90.0,0.6711,0.4375,0.0,NO,NO
4,SMFG,26.14,Financial Services,Banks - Diversified,88.0,86.0,80.0,87.0,0.5886,0.3636,0.0,NO,NO
5,BNS,94.06,Financial Services,Banks - Diversified,86.0,90.0,79.0,88.0,1.5286,1.4629,0.0,NO,NO
1,HFBL,25.27,Financial Services,Banks - Regional,94.0,17.0,92.0,93.0,0.8993,0.5029,0.0,NO,NO
2,VBNK,23.18,Financial Services,Banks - Regional,94.0,95.0,90.0,95.0,0.9379,0.909,1.03,NO,NO
3,CIB,97.96,Financial Services,Banks - Regional,93.0,31.0,90.0,89.0,3.2764,3.1221,0.0,NO,NO
4,SHG,82.76,Financial Services,Banks - Regional,92.0,93.0,92.0,87.0,2.4732,1.4182,0.34,NO,NO
5,MSBI,32.88,Financial Services,Banks - Regional,92.0,66.0,79.0,92.0,0.7501,0.7294,0.0,NO,NO
1,FMX,122.03,Consumer Defensive,Beverages - Brewers,67.0,74.0,21.0,73.0,2.6589,2.6589,0.25,NO,NO
2,BUD,78.2,Consumer Defensive,Beverages - Brewers,66.0,55.0,17.0,62.0,1.4276,1.1448,0.14,NO,NO
3,TAP,36.88,Consumer Defensive,Beverages - Brewers,6.0,3.0,14.0,7.0,1.1071,1.0871,0.0,NO,NO
4,SAM,168.25,Consumer Defensive,Beverages - Brewers,5.0,8.0,15.0,2.0,6.3529,6.3486,0.0,NO,NO
5,STZ,117.59,Consumer Defensive,Beverages - Brewers,4.0,4.0,5.0,2.0,3.4304,3.3839,0.0,NO,NO
1,KO,88.61,Consumer Defensive,Beverages - Non-Alcoholic,82.0,35.0,81.0,71.0,1.225,1.1061,0.55,NO,NO
2,COKE,190.98,Consumer Defensive,Beverages - Non-Alcoholic,81.0,73.0,65.0,33.0,5.97,5.6629,0.0,NO,NO
3,KOF,111.89,Consumer Defensive,Beverages - Non-Alcoholic,78.0,62.0,66.0,75.0,2.2196,2.1911,0.0,NO,NO
4,MNST,44.27,Consumer Defensive,Beverages - Non-Alcoholic,71.0,12.0,17.0,75.0,0.8225,0.7764,0.32,NO,NO
