Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,Earning_Date,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume
149,POWL,281.09,730793,Industrials,Electrical Equipment & Parts,97.0,23.0,93.0,97.0,23.1521,21.1621,707270.0,979070.0,328.0,67.82,10240571392,NO,283.46,175.36,287.87,207.21,,11665,0.09,730793,NO,NO,2024-07-31,5279700.0
152,NWPX,149.37,198512,Basic Materials,Steel,96.0,95.0,96.0,97.0,6.8077,6.6769,165229.0,252910.0,152.03,40.01,1439479808,NO,114.6,77.31,124.37,89.79,,7693,0.13,198512,NO,NO,2008-12-30,1481600.0
156,OUST,54.07,9943283,Technology,Electronic Components,96.0,96.0,98.0,97.0,6.1478,5.7414,4083933.0,4933830.0,54.49,16.4,3442796288,NO,35.83,27.35,39.17,27.71,,1435,4.4,9943283,YES,NO,2025-06-11,17407500.0
158,DNTH,95.68,1349909,Healthcare,Biotechnology,96.0,77.0,68.0,96.0,6.1229,5.4871,897769.0,1710980.0,97.38,17.27,5230465024,NO,86.66,59.3,87.59,69.71,,2015,0.0,1349909,NO,NO,2025-09-08,5974200.0
161,AMKR,82.34,6239970,Technology,Semiconductor Equipment & Materials,96.0,93.0,95.0,96.0,8.0879,7.1807,5212867.0,7330730.0,96.68,20.59,20409821184,NO,74.7,49.62,75.26,57.89,,7083,0.0,6239970,NO,NO,2021-02-12,27265800.0
162,STRL,813.77,719767,Industrials,Engineering & Construction,96.0,21.0,96.0,97.0,67.817,61.9527,711667.0,1117830.0,1005.68,217.07,24971309056,NO,758.7,466.64,804.19,527.03,,8803,0.65,719767,NO,NO,2025-04-16,7646100.0
170,SPHR,172.34,744260,Communication Services,Entertainment,96.0,96.0,93.0,95.0,7.5264,7.5026,718506.0,818860.0,172.34,37.89,6168428544,NO,141.16,102.82,147.25,120.8,,1562,0.0,744260,NO,NO,2023-12-05,9793100.0
173,SILC,41.93,195049,Technology,Communication Equipment,96.0,18.0,96.0,97.0,4.4186,4.35,139300.0,156280.0,52.58,13.34,240997328,NO,41.2,23.43,43.53,27.24,,8142,0.0,195049,NO,NO,1999-12-08,2163100.0
177,IRDM,54.59,12655518,Communication Services,Telecom Services,96.0,80.0,96.0,98.0,4.0479,3.3979,2587493.0,3019520.0,55.17,15.65,5771677696,NO,44.23,26.75,46.05,31.71,,4597,18.92,12655518,YES,NO,2021-02-11,24324300.0
183,VECO,69.47,2012956,Technology,Semiconductor Equipment & Materials,96.0,93.0,96.0,97.0,7.0643,6.2429,1576961.0,2050260.0,86.63,19.29,4239996160,NO,60.74,38.49,64.15,43.71,,7947,0.0,2012956,NO,NO,2000-10-06,15022300.0
184,AGX,791.56,426414,Industrials,Engineering & Construction,96.0,93.0,88.0,97.0,49.3529,44.0493,351591.0,403910.0,798.0,196.9,11097074688,NO,678.85,445.98,706.05,525.24,,7765,0.94,426414,NO,NO,2026-03-20,2581700.0
187,ONTO,351.45,1597876,Technology,Semiconductor Equipment & Materials,96.0,97.0,94.0,96.0,27.6986,21.9925,1146272.0,1508750.0,353.18,89.4,17482377216,NO,290.3,202.38,295.61,237.4,,1675,0.0,1597876,NO,NO,2023-10-17,9552200.0
192,KLAC,278.39,14512784,Technology,Semiconductor Equipment & Materials,96.0,98.0,96.0,96.0,20.2737,16.697,11097682.0,15717330.0,279.34,83.22,363653988352,NO,203.5,149.42,215.5,170.22,,11522,0.85,14512784,YES,NO,2002-10-23,329584000.0
193,APGE,132.61,3048554,Healthcare,Biotechnology,96.0,98.0,94.0,94.0,5.8193,2.81,2247787.0,9703670.0,133.16,34.34,9970112512,NO,90.12,72.22,93.9,81.59,,742,0.0,3048554,NO,NO,2026-06-22,61663500.0
205,ENLT,86.38,437673,Utilities,Utilities - Renewable,96.0,4.0,84.0,95.0,5.4944,4.2469,210382.0,323860.0,108.65,22.61,12072256512,NO,91.17,60.36,91.34,72.04,,874,0.0,437936,NO,NO,2023-02-10,4633700.0
208,MYRG,501.13,386758,Industrials,Engineering & Construction,96.0,75.0,95.0,96.0,25.7129,24.3557,303812.0,351920.0,501.9,171.51,7803113472,NO,431.92,286.77,458.23,328.75,,4496,0.0,386758,NO,NO,2009-06-26,3646200.0
211,FIX,1948.69,584770,Industrials,Engineering & Construction,96.0,77.0,89.0,96.0,114.5379,96.5107,447190.0,603730.0,2073.99,510.0,68562644992,NO,1871.79,1290.62,1896.05,1481.5,,7295,1.36,584770,NO,NO,2025-12-19,8010000.0
216,CRDO,245.68,10046527,Technology,Semiconductors,96.0,87.0,97.0,93.0,29.7562,26.0405,8444511.0,11468650.0,308.67,84.25,45813891072,NO,212.26,157.28,221.27,160.89,,1108,1.34,10046527,YES,NO,2026-06-26,38598100.0
217,ALGM,66.37,6945980,Technology,Semiconductors,96.0,96.0,97.0,97.0,4.8525,4.2314,2577098.0,4181680.0,67.41,22.41,12365332480,NO,48.74,35.6,51.49,39.79,,1421,0.22,6945980,NO,NO,2024-09-20,19368900.0
218,MTSI,372.59,1793722,Technology,Semiconductors,96.0,17.0,94.0,96.0,23.6586,20.9093,1472790.0,1890860.0,418.9,118.16,28427042816,NO,348.9,228.8,362.87,268.89,,3592,0.0,1793722,NO,NO,2018-02-07,14046200.0
219,XMTR,94.25,922799,Industrials,Industrial Distribution,96.0,33.0,97.0,91.0,4.5846,4.4246,869211.0,694610.0,99.86,30.63,5206921728,NO,77.21,59.65,85.39,63.28,,1254,0.0,922799,NO,NO,2026-02-24,6999500.0
227,INTG,48.92,148863,Consumer Cyclical,Lodging,95.0,93.0,85.0,95.0,3.9407,3.9236,51841.0,114900.0,52.0,9.57,105119880,NO,38.1,32.32,39.35,34.22,,11665,0.0,148863,NO,NO,2026-06-18,369500.0
229,GH,153.74,2723696,Healthcare,Diagnostics & Research,95.0,92.0,95.0,91.0,6.6836,6.3464,2553943.0,3990960.0,153.95,40.35,20385912832,NO,112.55,96.31,121.88,105.94,,1942,0.52,2723696,NO,NO,2026-06-26,18770300.0
230,ELVN,50.85,1536531,Healthcare,Biotechnology,95.0,95.0,84.0,97.0,3.6705,3.3873,1383448.0,3322080.0,51.05,14.79,3632636416,NO,42.22,29.09,43.18,33.86,,1582,0.62,1557137,NO,NO,2022-09-07,25749275.0
234,BTSG,68.98,3871295,Healthcare,Health Information Services,95.0,90.0,93.0,95.0,2.1003,1.9896,3025243.0,3965360.0,70.72,19.01,13537906688,NO,57.58,41.81,61.03,47.48,,607,0.0,3871295,NO,NO,2024-01-26,24876200.0
241,BELFB,315.65,401820,Technology,Electronic Components,95.0,91.0,92.0,95.0,17.35,16.8921,272754.0,315740.0,316.55,95.45,4489397248,NO,278.84,205.93,286.19,234.4,,7035,0.0,413735,NO,NO,2021-08-02,2749000.0
249,MRNA,69.7,7919152,Healthcare,Biotechnology,95.0,98.0,89.0,96.0,4.9589,4.9367,7231327.0,10912070.0,69.9,22.28,27656001536,NO,51.46,40.37,54.11,47.75,,1898,0.94,7919152,NO,NO,2020-12-01,125130400.0
257,LSCC,146.78,2165096,Technology,Semiconductors,95.0,39.0,93.0,95.0,10.2386,9.0043,2144075.0,2067050.0,157.01,46.43,20110012416,NO,134.12,94.27,137.79,106.17,,9224,0.54,2165096,NO,NO,2016-11-03,33890700.0
259,BELFA,272.57,295800,Technology,Electronic Components,95.0,88.0,89.0,94.0,16.9964,16.1107,121669.0,256770.0,276.21,87.67,3467828224,NO,249.43,183.7,254.7,211.94,,10723,0.0,295800,NO,NO,1996-07-24,1593600.0
262,EWTX,40.92,1869411,Healthcare,Biotechnology,95.0,95.0,85.0,91.0,2.6966,2.6438,1393741.0,2057490.0,43.93,12.3,4402705920,NO,34.64,26.75,35.55,31.07,,1320,0.0,1869411,NO,NO,2025-04-02,16114400.0
263,ALNT,99.79,290110,Technology,Electronic Components,95.0,97.0,93.0,94.0,6.1718,5.7032,243345.0,348570.0,104.65,35.36,1696081920,NO,78.99,62.54,81.63,69.39,,11514,0.0,290110,NO,NO,2000-01-31,1607100.0
268,LGN,80.6,2983437,Industrials,Engineering & Construction,95.0,21.0,91.0,95.0,5.4799,5.2234,1834927.0,1720710.0,107.24,26.96,13238339584,NO,85.75,,85.6,63.76,,199,0.0,2983437,NO,NO,2025-09-12,9811600.0
270,CRS,607.03,844190,Industrials,Metal Fabrication,95.0,97.0,93.0,95.0,22.9139,21.9346,762754.0,1185230.0,608.39,228.0,30160658432,NO,479.16,367.12,499.97,411.97,,13451,0.0,844190,NO,NO,2020-07-31,10557100.0
280,COOK,82.0,43916,Consumer Cyclical,"Furnishings, Fixtures & Appliances",95.0,96.0,98.0,92.0,7.959,7.5304,33906.0,83980.0,104.0,20.91,228108176,NO,55.5,48.71,61.89,49.82,,1234,1.59,43916,NO,NO,2023-08-03,300422.0
292,HNGE,81.48,4338685,Healthcare,Health Information Services,95.0,98.0,97.0,94.0,3.9425,3.8954,1629025.0,2707790.0,84.62,30.08,6304932864,NO,57.15,48.38,62.62,49.04,,276,0.0,4338685,NO,NO,2025-05-22,9172800.0
294,PANW,332.0,10206461,Technology,Software - Infrastructure,95.0,96.0,97.0,94.0,13.0821,12.9364,8269966.0,7050220.0,332.76,139.57,270580006912,NO,240.86,199.24,264.97,202.04,,3504,1.85,10206461,YES,NO,2017-03-01,130718400.0
297,VCYT,60.19,1422852,Healthcare,Diagnostics & Research,95.0,96.0,96.0,89.0,2.5929,2.4778,1135180.0,1762510.0,60.83,22.61,4802719232,NO,43.66,39.2,47.37,40.39,,3183,0.0,1422852,NO,NO,2025-07-28,15571600.0
298,GHM,119.82,259788,Industrials,Specialty Industrial Machinery,95.0,94.0,92.0,94.0,7.3575,6.8925,229564.0,330650.0,124.03,46.08,1400832384,NO,101.12,77.0,104.96,87.23,,11665,0.0,259788,NO,NO,1990-07-20,1783500.0
306,LGND,314.04,459556,Healthcare,Biotechnology,94.0,97.0,93.0,93.0,14.0286,13.3157,298669.0,721990.0,314.8,111.72,6293694464,NO,239.44,205.11,250.84,216.88,,8459,0.0,459556,NO,NO,2019-01-16,13747168.0
307,FROG,90.09,4689140,Technology,Software - Application,94.0,95.0,96.0,87.0,4.9607,4.9236,2983293.0,4618310.0,90.33,34.05,10911675392,NO,68.58,56.32,76.22,59.4,,1452,0.55,4689140,NO,NO,2026-06-26,26088500.0
