Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,Earning_Date,SMA50,SMA200,SMA10W,SMA30W
478,DDOG,215.15,7060450.0,Technology,Software - Application,95.0,99.0,98.0,78.0,5528468.0,8477290.0,215.68,98.01,76584837120.0,No,,139.46,140.69,148.52,142.35
479,PNRG,264.9,84147.0,Energy,Oil & Gas E&P,95.0,97.0,96.0,97.0,62545.0,38760.0,278.9,126.4,428608192.0,No,,225.72,182.19,232.96,194.27
481,CECO,78.32,892763.0,Industrials,Pollution & Treatment Controls,95.0,96.0,51.0,94.0,760696.0,807090.0,90.25,25.96,2809575936.0,No,,67.03,58.57,68.8,63.34
486,TIGO,80.94,1554610.0,Communication Services,Telecom Services,94.0,32.0,92.0,94.0,1403126.0,1359270.0,85.26,35.48,13560804352.0,No,,79.12,59.54,80.04,65.42
501,CMPR,99.48,346565.0,Industrials,Specialty Business Services,94.0,96.0,94.0,93.0,138281.0,203270.0,104.91,41.88,2410608384.0,No,,80.6,71.04,83.46,75.85
502,GOOG,384.9,24765426.0,Communication Services,Internet Content & Information,94.0,93.0,92.0,91.0,19343127.0,16716830.0,404.47,163.33,4663234002944.0,No,,334.26,293.23,342.29,321.15
511,KLAC,1740.58,1068984.0,Technology,Semiconductor Equipment & Materials,94.0,29.0,88.0,93.0,983224.0,1098370.0,1939.36,740.44,227367649280.0,No,,1667.62,1313.97,1706.28,1455.98
515,CRDO,168.99,8178406.0,Technology,Semiconductors,94.0,31.0,94.0,78.0,7138427.0,6252040.0,213.8,59.0,31170195456.0,No,,144.74,141.88,148.95,143.73
528,CSCO,115.38,29536339.0,Technology,Communication Equipment,94.0,97.0,96.0,92.0,22908749.0,32230370.0,119.39,62.3,455738654720.0,No,,87.51,77.15,91.61,81.97
529,ARW,206.27,921451.0,Technology,Electronics & Computer Distribution,94.0,94.0,94.0,97.0,635716.0,1027650.0,215.68,101.79,10547398656.0,No,,168.36,134.36,173.64,141.08
537,LFUS,430.18,412120.0,Technology,Electronic Components,94.0,90.0,91.0,96.0,304000.0,489940.0,483.95,201.19,10878780416.0,No,,382.3,302.38,392.04,323.21
539,AEIS,302.84,1284217.0,Industrials,Electrical Equipment & Parts,94.0,5.0,24.0,93.0,705127.0,1129430.0,397.44,112.25,11517203456.0,No,,347.18,246.89,347.53,281.1
544,AKAM,141.34,13710369.0,Technology,Software - Infrastructure,94.0,98.0,93.0,94.0,5486344.0,8536460.0,165.45,69.78,20548780032.0,No,,113.41,92.0,116.93,100.22
549,KEN,83.75,27559.0,Utilities,Utilities - Independent Power Producers,94.0,77.0,57.0,92.0,24944.0,31960.0,95.93,32.74,4364078080.0,No,,84.86,65.09,85.66,73.58
558,MPWR,1468.11,639404.0,Technology,Semiconductors,94.0,43.0,91.0,94.0,589036.0,657380.0,1675.42,643.36,72128241664.0,No,,1345.39,1067.11,1389.71,1143.82
588,ADI,414.31,6034065.0,Technology,Semiconductors,93.0,89.0,89.0,96.0,3669963.0,3780880.0,435.72,206.0,202267869184.0,No,,360.33,292.17,370.24,316.37
598,CYD,50.42,274877.0,Consumer Cyclical,Auto Manufacturers,93.0,93.0,17.0,90.0,185124.0,201520.0,56.55,16.77,1891673856.0,No,,42.51,39.6,43.15,42.05
606,ROG,130.8,281306.0,Technology,Electronic Components,93.0,84.0,90.0,95.0,211695.0,260880.0,144.46,61.17,2334588672.0,No,,119.7,96.39,123.08,104.23
658,CHRD,149.65,1277899.0,Energy,Oil & Gas E&P,93.0,95.0,96.0,94.0,1081229.0,733930.0,151.95,84.25,8425172480.0,No,,136.96,107.86,139.19,112.07
660,REPX,41.21,1036909.0,Energy,Oil & Gas E&P,93.0,96.0,96.0,94.0,440483.0,413270.0,41.49,24.08,894089984.0,No,,35.87,29.42,36.48,30.59
671,FTNT,127.64,6996101.0,Technology,Software - Infrastructure,93.0,99.0,97.0,93.0,6208945.0,7383390.0,128.2,70.12,93515235328.0,No,,89.42,83.58,93.58,85.57
684,HLIO,77.94,528990.0,Industrials,Specialty Industrial Machinery,92.0,93.0,74.0,92.0,372031.0,399700.0,80.0,28.79,2575633152.0,No,,68.39,60.35,69.28,63.88
692,TS,60.84,3539757.0,Energy,Oil & Gas Equipment & Services,92.0,74.0,91.0,93.0,2011863.0,2048630.0,64.33,32.0,30713241600.0,No,,59.37,45.02,60.01,49.19
696,NXT,127.12,2674268.0,Technology,Solar,92.0,95.0,62.0,90.0,2001445.0,3007460.0,156.78,51.69,19116900352.0,No,,119.43,96.65,121.55,107.9
756,NMM,74.85,206808.0,Industrials,Marine Shipping,92.0,87.0,87.0,91.0,171486.0,148280.0,77.9,36.62,2136668928.0,No,,69.14,56.5,70.16,61.17
794,STLD,223.37,1231859.0,Basic Materials,Steel,91.0,87.0,87.0,92.0,1156629.0,975450.0,243.73,119.89,32212809728.0,No,,201.49,169.8,204.99,184.65
806,LPG,42.32,711843.0,Energy,Oil & Gas Midstream,91.0,93.0,89.0,94.0,515377.0,509390.0,43.09,20.03,1808930432.0,No,,36.07,30.83,37.19,31.41
828,LNTH,92.89,1115964.0,Healthcare,Drug Manufacturers - Specialty & Generic,91.0,91.0,92.0,96.0,995362.0,1164750.0,98.27,47.25,6047703552.0,No,,83.01,66.29,84.11,71.62
833,NYAX,67.0,33004.0,Technology,Software - Infrastructure,91.0,89.0,90.0,94.0,25868.0,56350.0,75.0,38.5,2504335360.0,No,,62.9,52.38,63.69,55.21
845,CBOE,362.97,986424.0,Financial Services,Financial Data & Stock Exchanges,91.0,95.0,92.0,91.0,900639.0,981620.0,371.18,218.14,37986185216.0,No,,307.83,268.26,314.81,282.69
851,DY,413.35,525637.0,Industrials,Engineering & Construction,91.0,66.0,53.0,91.0,427718.0,421120.0,464.82,190.89,12408188928.0,No,,389.52,339.35,394.23,368.56
868,STK,49.27,56824.0,Financial Services,Asset Management,90.0,88.0,91.0,89.0,51329.0,68750.0,52.04,28.0,870173632.0,No,,44.09,38.4,44.87,40.45
893,CRWD,616.88,4357975.0,Technology,Software - Infrastructure,90.0,98.0,96.0,76.0,4045498.0,3408700.0,634.24,342.72,157018488832.0,No,,449.99,462.14,462.32,465.04
895,MT,59.17,2624604.0,Basic Materials,Steel,90.0,24.0,18.0,93.0,1868688.0,1922020.0,67.6,29.62,44994514944.0,No,,57.08,47.18,57.09,52.01
898,FFIV,383.5,757465.0,Technology,Software - Infrastructure,90.0,96.0,94.0,95.0,751898.0,674040.0,386.29,223.76,21636782080.0,No,,312.06,291.44,319.68,281.29
910,PANW,240.13,10646260.0,Technology,Software - Infrastructure,90.0,98.0,97.0,79.0,8814554.0,9060620.0,248.85,139.57,194745434112.0,No,,178.75,186.34,184.72,183.1
912,SUNC,72.33,680523.0,Energy,Oil & Gas Midstream,90.0,95.0,92.0,92.0,560762.0,791910.0,72.89,47.0,3726239232.0,No,,63.53,,64.45,
921,VIRT,54.16,1473233.0,Financial Services,Capital Markets,90.0,88.0,94.0,93.0,1258850.0,1334300.0,56.48,31.55,11654045696.0,No,,47.3,39.43,48.62,40.61
986,NPK,142.35,94975.0,Industrials,Aerospace & Defense,89.0,71.0,85.0,93.0,92254.0,83810.0,149.86,82.67,1020086272.0,No,,139.05,118.59,140.15,123.09
1032,GLNG,55.65,2190429.0,Energy,Oil & Gas Midstream,89.0,86.0,92.0,92.0,2149290.0,1673330.0,57.79,35.02,5664044032.0,No,,53.1,43.5,54.48,44.99
1033,PKX,74.28,452792.0,Basic Materials,Steel,89.0,91.0,86.0,90.0,212647.0,282040.0,92.4,42.35,22468444160.0,No,,67.89,58.45,69.43,61.37
1035,ESE,294.9,403836.0,Technology,Scientific & Technical Instruments,89.0,21.0,81.0,89.0,311503.0,332190.0,346.2,174.92,7640025088.0,No,,297.74,238.28,299.27,251.93
1048,ESP,60.28,76325.0,Industrials,Electrical Equipment & Parts,89.0,12.0,75.0,94.0,25416.0,58660.0,74.77,34.9,180594176.0,No,,62.82,50.09,63.27,53.09
1054,RPRX,52.41,3740160.0,Healthcare,Biotechnology,89.0,87.0,87.0,89.0,3358103.0,4084370.0,53.47,32.15,30179364864.0,No,,48.68,41.46,49.31,43.87
1058,ENTG,124.22,3065638.0,Technology,Semiconductor Equipment & Materials,88.0,8.0,24.0,94.0,2644811.0,3024690.0,159.15,66.32,18918707200.0,No,,131.78,104.79,133.07,112.47
1122,YPF,47.96,3449376.0,Energy,Oil & Gas Integrated,88.0,94.0,93.0,84.0,2426944.0,2051740.0,48.96,22.82,20236062720.0,No,,42.84,35.71,43.62,38.93
1124,NPO,298.8,289810.0,Industrials,Specialty Industrial Machinery,88.0,85.0,82.0,91.0,249878.0,241610.0,326.98,173.63,6312647168.0,No,,275.79,241.58,280.76,250.27
1159,FLXS,53.36,74180.0,Consumer Cyclical,"Furnishings, Fixtures & Appliances",87.0,94.0,39.0,93.0,46314.0,41720.0,59.95,29.38,217477280.0,No,,49.38,44.29,49.82,45.27
1166,WHD,60.8,1266571.0,Energy,Oil & Gas Equipment & Services,87.0,94.0,73.0,92.0,1003175.0,756580.0,61.51,33.2,4220640512.0,No,,52.17,46.95,53.22,50.48
1180,PSMT,161.57,254982.0,Consumer Defensive,Discount Stores,87.0,71.0,76.0,90.0,234036.0,224100.0,165.75,99.98,4991847424.0,No,,154.05,133.46,155.79,141.68
1182,RAL,58.6,1582048.0,Technology,Electronic Components,87.0,97.0,94.0,84.0,1532068.0,2682280.0,62.35,37.27,6559282688.0,No,,46.05,46.27,47.1,47.81
1190,CVS,94.18,12771181.0,Healthcare,Healthcare Plans,87.0,96.0,90.0,82.0,8185344.0,10572700.0,98.43,58.5,120166834176.0,No,,79.64,77.4,81.23,79.4
1215,ODC,73.87,154598.0,Basic Materials,Specialty Chemicals,87.0,69.0,89.0,87.0,60459.0,47660.0,79.2,45.61,1069638144.0,No,,69.83,61.35,71.22,61.86
1255,IBKR,83.45,7122627.0,Financial Services,Capital Markets,86.0,77.0,83.0,86.0,4559863.0,4084150.0,88.44,49.15,141869858816.0,No,,75.13,69.7,76.23,71.52
1267,TKR,109.36,1124542.0,Industrials,Tools & Accessories,86.0,66.0,62.0,92.0,807065.0,1107970.0,123.67,67.14,7599920128.0,No,,105.8,90.0,106.42,96.17
1279,QCOM,195.61,19055281.0,Technology,Semiconductors,86.0,98.0,94.0,72.0,17446152.0,33545790.0,247.9,121.99,206172946432.0,No,,151.49,159.48,159.01,159.89
1283,SUN,72.2,1338641.0,Energy,Oil & Gas Refining & Marketing,86.0,93.0,88.0,90.0,537886.0,818340.0,72.81,47.98,13603342336.0,No,,66.32,57.27,66.92,60.09
1290,CLFD,41.67,377347.0,Technology,Communication Equipment,86.0,98.0,93.0,90.0,200655.0,546150.0,46.76,23.76,566272768.0,No,,31.15,32.03,32.4,31.18
1291,BKTI,82.5,58044.0,Technology,Communication Equipment,86.0,12.0,57.0,85.0,56883.0,41800.0,104.55,36.17,308896320.0,No,,86.56,76.53,87.35,80.0
1327,RBC,565.22,288092.0,Industrials,Tools & Accessories,86.0,24.0,63.0,88.0,202604.0,287420.0,632.0,351.19,17880936448.0,No,,575.07,477.76,572.51,515.71
1336,CHMG,67.1,64437.0,Financial Services,Banks - Regional,86.0,47.0,86.0,87.0,14944.0,43230.0,70.83,43.2,323409920.0,No,,60.35,55.77,61.53,57.53
