Section,Type,Ticker,Price,Relative Strength Percentile,1 Month Ago Percentile,3 Months Ago Percentile,6 Months Ago Percentile,Sector,Industry,Rank
🔹 RS > 95: Leading Stocks,Stock,SEI,33.31,97,97.0,97.0,99.0,Energy,Oil & Gas Equipment & Services,224
🔹 RS > 95: Leading Stocks,Stock,GRAL,39.41,97,99.0,99.0,98.0,Healthcare,Diagnostics & Research,229
🔹 RS > 95: Leading Stocks,Stock,SMU,46.68,97,97.0,98.0,97.0,ETF,ETF,236
🔹 RS > 95: Leading Stocks,Stock,SRRK,38.63,97,99.0,98.0,98.0,Healthcare,Biotechnology,239
🔹 RS > 95: Leading Stocks,Stock,SRAD,28.31,97,97.0,98.0,97.0,Technology,Software - Application,254
🔹 RS > 95: Leading Stocks,Stock,KDEF,41.4,96,98.0,96.0,96.0,ETF,ETF,271
🔹 RS > 95: Leading Stocks,Stock,FOA,24.21,96,98.0,99.0,99.0,Financial Services,Credit Services,280
🔹 RS > 95: Leading Stocks,Stock,CVNA,331.61,96,97.0,98.0,98.0,Consumer Cyclical,Auto & Truck Dealerships,284
🔹 RS > 95: Leading Stocks,Stock,UI,448.45,96,97.0,98.0,98.0,Technology,Communication Equipment,314
🔹 RS > 95: Leading Stocks,Stock,RBRK,85.79,96,98.0,97.0,97.0,Technology,Software - Infrastructure,326
🔹 RS > 95: Leading Stocks,Stock,CRS,275.98,96,97.0,96.0,96.0,Industrials,Metal Fabrication,340
🔸 RS ≥ 85: Top Movers,Stock,MP,62.96,99,98.0,97.0,92.0,Basic Materials,Other Industrial Metals & Mining,52
🔸 RS ≥ 85: Top Movers,Stock,TZUP,13.63,99,96.0,88.0,3.0,Communication Services,Advertising Agencies,60
🔸 RS ≥ 85: Top Movers,Stock,PGY,31.84,99,97.0,85.0,4.0,Technology,Software - Infrastructure,75
🔸 RS ≥ 85: Top Movers,Stock,VHC,20.49,99,95.0,94.0,93.0,Technology,Software - Infrastructure,83
🔸 RS ≥ 85: Top Movers,Stock,METC,22.68,98,86.0,25.0,4.0,Basic Materials,Coking Coal,127
🔸 RS ≥ 85: Top Movers,Stock,WLDN,82.0,98,97.0,88.0,75.0,Industrials,Engineering & Construction,128
🔸 RS ≥ 85: Top Movers,Stock,SBSW,9.4,98,97.0,86.0,6.0,Basic Materials,Other Precious Metals & Mining,132
🔸 RS ≥ 85: Top Movers,Stock,FORD,9.75,98,95.0,94.0,91.0,Consumer Cyclical,Footwear & Accessories,142
🔸 RS ≥ 85: Top Movers,Stock,SNES,5.74,98,97.0,4.0,2.0,Basic Materials,Specialty Chemicals,144
🔸 RS ≥ 85: Top Movers,Stock,OWLT,8.43,98,97.0,24.0,16.0,Healthcare,Medical Devices,165
🔸 RS ≥ 85: Top Movers,Stock,OPRX,14.06,98,97.0,96.0,2.0,Healthcare,Health Information Services,176
🔸 RS ≥ 85: Top Movers,Stock,FLYE,5.29,97,96.0,2.0,0.0,Consumer Cyclical,Auto Manufacturers,183
🔸 RS ≥ 85: Top Movers,Stock,UUUU,9.64,97,89.0,12.0,9.0,Energy,Uranium,194
🔸 RS ≥ 85: Top Movers,Stock,PARR,31.22,97,96.0,7.0,4.0,Energy,Oil & Gas Refining & Marketing,211
🔸 RS ≥ 85: Top Movers,Stock,NBTX,6.84,97,89.0,8.0,2.0,Healthcare,Biotechnology,247
🔸 RS ≥ 85: Top Movers,Stock,SEDG,28.13,97,77.0,7.0,0.0,Technology,Solar,253
🔸 RS ≥ 85: Top Movers,Stock,INBX,21.4,96,38.0,23.0,17.0,Healthcare,Biotechnology,266
