Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume
770,OII,40.03,1449776,Energy,Oil & Gas Equipment & Services,91.0,76.0,60.0,94.0,1.6007,1.5379,1047535.0,1102110.0,40.21,20.21,3992802048,NO,37.9,30.74,37.84,33.36,12768,-0.38,4923100.0,NO,NO,2019-11-04,20401800.0
781,LSTR,209.21,529597,Industrials,Integrated Freight & Logistics,91.0,78.0,89.0,91.0,6.9464,6.8071,481708.0,485460.0,228.46,119.32,7098120704,NO,195.35,156.03,197.99,168.36,8385,-0.13,657900.0,NO,NO,1993-09-29,29786400.0
784,NTCT,41.59,1486055,Technology,Software - Infrastructure,91.0,67.0,86.0,92.0,1.3707,1.36,605983.0,664790.0,43.8,20.39,2973486080,NO,38.43,30.67,39.07,32.43,6759,-0.49,1718300.0,NO,NO,2021-11-04,16146600.0
785,SOLS,82.69,5437429,Basic Materials,Specialty Chemicals,91.0,24.0,64.0,94.0,3.9164,3.6823,1886580.0,1434780.0,90.8,40.43,13131526144,NO,82.89,,82.36,71.24,172,-1.51,7581000.0,NO,NO,2025-12-19,37846300.0
786,LIVN,83.43,1711786,Healthcare,Medical Devices,91.0,91.0,88.0,87.0,2.5291,2.4369,795383.0,793590.0,83.95,41.02,4583105024,NO,71.56,63.14,72.84,66.92,2687,0.12,2003400.0,NO,NO,2017-06-23,6983200.0
794,CORT,87.32,1366638,Healthcare,Biotechnology,91.0,97.0,97.0,30.0,3.9307,3.8707,1150872.0,1003570.0,91.0,28.66,9373940736,NO,62.03,60.19,65.6,53.7,5585,0.4,1103000.0,NO,NO,2020-09-02,88404100.0
804,IBKR,89.82,5896218,Financial Services,Capital Markets,91.0,88.0,90.0,90.0,3.5357,3.1507,4859664.0,4526720.0,97.84,52.96,152354684928,NO,85.11,72.83,86.02,75.36,4816,1.79,3086000.0,NO,NO,2025-08-27,98998600.0
807,PHIN,84.82,594795,Consumer Cyclical,Auto Parts,91.0,87.0,83.0,90.0,2.8971,2.7321,356727.0,496980.0,86.94,44.26,3140083968,NO,77.52,66.26,78.59,71.21,752,-0.28,1729300.0,NO,NO,2023-07-05,12492100.0
809,ROKU,135.4,9730252,Communication Services,Entertainment,91.0,74.0,93.0,83.0,5.5593,5.51,4085477.0,12453260.0,148.88,78.53,20085528576,NO,125.53,105.98,128.75,109.78,2197,-0.11,9730300.0,YES,NO,2022-02-18,66585200.0
814,WRLD,213.77,163235,Financial Services,Credit Services,90.0,96.0,95.0,91.0,8.0657,7.9686,147117.0,111680.0,214.89,110.0,991961856,NO,161.69,149.6,166.87,147.51,8706,0.0,166300.0,NO,NO,1993-05-26,4631400.0
817,SENEA,170.38,200031,Consumer Defensive,Packaged Foods,90.0,92.0,74.0,92.0,9.9164,9.5943,143150.0,211970.0,181.43,98.53,1154672512,NO,145.28,128.29,147.94,135.36,7060,0.14,203000.0,NO,NO,2009-07-16,1543800.0
826,FDX,318.53,2227999,Industrials,Integrated Freight & Logistics,90.0,69.0,74.0,89.0,10.595,10.1543,2078069.0,2538660.0,345.37,174.13,76003409920,NO,317.41,260.57,321.21,288.24,12151,0.7,2707900.0,NO,NO,2022-09-16,42444558.0
828,FTAI,260.08,2467485,Industrials,Aerospace & Defense,90.0,81.0,61.0,93.0,16.9675,15.6232,1218035.0,962500.0,323.51,108.47,26679779328,NO,250.46,223.09,251.41,245.26,2795,1.93,658500.0,NO,NO,2025-01-15,20029100.0
833,STK,51.17,82844,Financial Services,Asset Management,90.0,16.0,89.0,90.0,2.4043,2.0493,66466.0,69570.0,58.46,30.04,903730112,NO,51.22,41.25,51.59,43.26,4169,-2.79,84400.0,NO,NO,2018-01-12,384000.0
837,PDEX,61.47,96656,Healthcare,Medical Instruments & Supplies,90.0,21.0,84.0,92.0,4.0779,4.0779,42511.0,88790.0,68.99,23.47,196258896,NO,59.53,44.16,60.05,49.03,10048,0.34,114900.0,NO,NO,2014-09-19,5321400.0
841,DXPE,163.36,397864,Industrials,Industrial Distribution,90.0,90.0,81.0,91.0,7.0343,6.4493,185893.0,173460.0,183.91,84.04,2532947712,NO,158.97,131.62,159.77,140.25,7077,1.18,265700.0,NO,NO,2005-09-06,5090000.0
843,OKTA,124.28,4636841,Technology,Software - Infrastructure,90.0,97.0,94.0,90.0,6.0694,6.0694,4075790.0,3495390.0,142.35,62.66,21792057344,NO,96.8,87.91,101.1,88.48,2317,0.07,4711600.0,NO,NO,2022-09-01,45872000.0
853,ACA,144.5,1052565,Industrials,Engineering & Construction,90.0,92.0,90.0,86.0,4.2399,3.485,442911.0,1281520.0,146.92,81.91,7095933952,NO,125.51,110.89,127.86,117.27,1918,-0.03,1955300.0,NO,NO,2019-06-28,5586000.0
856,NVEC,96.18,377058,Technology,Semiconductors,90.0,72.0,92.0,92.0,8.7171,7.5614,147261.0,221940.0,121.2,57.21,465238720,NO,94.03,74.13,96.42,77.6,7825,-3.25,390900.0,NO,NO,2004-08-17,7825100.0
859,AROC,41.95,3775597,Energy,Oil & Gas Equipment & Services,90.0,88.0,70.0,93.0,1.3171,1.2729,1744382.0,2299290.0,42.22,21.17,7352224256,NO,36.78,30.49,37.07,32.99,4741,0.54,2883200.0,NO,NO,2018-04-27,19724500.0
869,MPWR,1313.32,3434773,Technology,Semiconductors,90.0,5.0,84.0,90.0,116.2157,96.1072,730209.0,1092580.0,1714.09,686.87,64523407360,NO,1553.85,1159.52,1545.78,1241.79,5433,-5.62,3480000.0,NO,NO,2021-02-11,10003300.0
884,NVMI,488.58,797729,Technology,Semiconductor Equipment & Materials,90.0,21.0,55.0,91.0,41.9957,32.1814,404351.0,520280.0,615.99,232.73,15539853312,NO,520.38,414.01,519.63,453.1,6591,-5.39,821400.0,NO,NO,2000-04-11,4895500.0
885,URI,1121.66,947974,Industrials,Rental & Leasing Services,90.0,91.0,93.0,89.0,32.215,29.1264,548161.0,571170.0,1143.69,701.59,70268141568,NO,983.63,888.46,1009.66,885.61,7173,-0.21,959600.0,NO,NO,2007-11-14,36409300.0
897,CAKE,80.38,1898087,Consumer Cyclical,Restaurants,90.0,95.0,91.0,92.0,2.8229,2.7264,1210640.0,1505730.0,80.89,43.07,3993709312,NO,65.16,57.57,66.79,60.46,8500,-2.0,1005700.0,NO,NO,1992-09-18,24816375.0
898,XOMA,42.15,243980,Healthcare,Biotechnology,90.0,66.0,90.0,94.0,0.43,0.4293,213296.0,121020.0,42.81,22.29,745158976,NO,41.37,33.4,41.42,32.61,10091,0.21,439300.0,NO,NO,2015-07-22,4541600.0
900,VLO,259.37,8333191,Energy,Oil & Gas Refining & Marketing,90.0,85.0,46.0,93.0,9.9429,9.0307,3150680.0,3473620.0,265.61,130.78,77015449600,NO,246.6,203.2,247.65,217.08,11210,-0.63,8402800.0,NO,NO,2004-04-28,84719360.0
903,CHMG,75.58,80892,Financial Services,Banks - Regional,90.0,82.0,91.0,87.0,2.22,2.1929,32587.0,46740.0,75.58,47.94,364282016,NO,68.34,58.12,69.29,60.89,6911,-0.07,29100.0,NO,NO,2019-10-11,726200.0
919,STT,168.11,3957442,Financial Services,Asset Management,89.0,83.0,89.0,86.0,4.6486,4.3736,2182293.0,3064200.0,175.46,101.98,46527307776,NO,157.24,131.93,158.05,138.55,11664,0.17,4014100.0,NO,NO,2009-01-20,76692600.0
