Rank,Ticker,Price,Sector,Industry,Relative Strength Percentile,1 Month Ago Percentile,3 Months Ago Percentile,6 Months Ago Percentile
156,SGHC,11.44,Consumer Cyclical,Gambling,98,98.0,98.0,98.0
157,IPX,40.51,Basic Materials,Other Industrial Metals & Mining,98,96.0,88.0,95.0
158,ETHU,114.25,ETF,ETF,98,2.0,0.0,5.0
159,AAPG,39.8,Healthcare,Biotechnology,98,99.0,97.0,41.0
160,SPCY,31.96,ETF,ETF,98,96.0,24.0,97.0
161,LASR,19.48,Technology,Semiconductors,98,98.0,7.0,12.0
162,ARTL,15.06,Healthcare,Biotechnology,98,31.0,14.0,13.0
163,JFIN,16.23,Communication Services,Internet Content & Information,98,98.0,98.0,91.0
164,DPRO,6.15,Industrials,Aerospace & Defense,98,11.0,9.0,7.0
165,CNL,9.27,Basic Materials,Gold,98,99.0,99.0,95.0
166,KOD,6.89,Healthcare,Biotechnology,98,83.0,69.0,97.0
167,FUTU,168.24,Financial Services,Capital Markets,98,96.0,90.0,93.0
168,TPC,49.1,Industrials,Engineering & Construction,98,97.0,55.0,92.0
169,NAGE,9.52,Healthcare,Biotechnology,98,99.0,99.0,98.0
170,SEDG,28.55,Technology,Solar,98,55.0,6.0,0.0
171,GDS,36.29,Technology,Information Technology Services,98,96.0,98.0,98.0
172,APED,35.11,ETF,ETF,98,97.0,43.0,97.0
173,PCT,15.83,Industrials,Pollution & Treatment Controls,98,97.0,16.0,92.0
174,JFB,7.09,Real Estate,Real Estate - Development,98,97.0,90.0,97.0
175,TVRD,28.46,Healthcare,Biotechnology,98,98.0,97.0,74.0
176,TPR,109.14,Consumer Cyclical,Luxury Goods,98,96.0,96.0,96.0
177,AMDG,20.25,ETF,ETF,97,90.0,2.0,14.0
178,TNXP,45.16,Healthcare,Biotechnology,97,85.0,1.0,60.0
179,ACHR,11.15,Industrials,Aerospace & Defense,97,98.0,98.0,98.0
180,NEOV,5.4,Industrials,Electrical Equipment & Parts,97,87.0,46.0,93.0
181,SOFI,21.56,Financial Services,Credit Services,97,96.0,95.0,97.0
182,APLD,11.02,Technology,Information Technology Services,97,95.0,34.0,94.0
183,IDN,5.22,Technology,Software - Application,97,98.0,24.0,61.0
184,AS,37.48,Consumer Cyclical,Leisure,97,98.0,96.0,98.0
185,UPSX,48.77,ETF,ETF,97,82.0,98.0,97.0
186,OPRX,13.76,Healthcare,Health Information Services,97,97.0,96.0,3.0
187,SEI,33.23,Energy,Oil & Gas Equipment & Services,97,97.0,97.0,99.0
188,APPS,5.4,Technology,Software - Application,97,99.0,96.0,7.0
189,LGCY,11.35,Consumer Defensive,Education & Training Services,97,98.0,92.0,97.0
190,FORD,10.19,Consumer Cyclical,Footwear & Accessories,97,96.0,94.0,89.0
191,SYM,54.37,Industrials,Specialty Industrial Machinery,97,95.0,6.0,12.0
192,XYZG,27.0,ETF,ETF,97,95.0,95.0,97.0
193,TARK,65.93,ETF,ETF,97,97.0,17.0,95.0
194,EVEX,7.36,Industrials,Aerospace & Defense,97,94.0,25.0,89.0
195,WKEY,6.06,Technology,Semiconductors,97,98.0,95.0,99.0
196,LFMD,10.72,Healthcare,Health Information Services,97,99.0,73.0,28.0
197,STRT,64.45,Consumer Cyclical,Auto Parts,97,96.0,88.0,91.0
198,FULC,7.91,Healthcare,Biotechnology,97,98.0,10.0,7.0
199,ATYR,6.47,Healthcare,Biotechnology,97,98.0,95.0,96.0
200,TRVI,7.79,Healthcare,Biotechnology,97,94.0,99.0,94.0
201,VRTL,38.89,ETF,ETF,97,97.0,11.0,97.0
202,CYD,23.63,Consumer Cyclical,Auto Manufacturers,97,98.0,97.0,76.0
203,VVOS,5.58,Healthcare,Medical Devices,97,35.0,27.0,89.0
204,YB,27.83,Technology,Software - Application,97,92.0,98.0,97.0
205,SANA,5.22,Healthcare,Biotechnology,97,90.0,0.0,2.0
206,SNWV,37.47,Healthcare,Medical Devices,97,97.0,98.0,97.0
207,XXRP,47.03,ETF,ETF,97,83.0,97.0,97.0
208,LIF,75.55,Technology,Software - Application,97,96.0,85.0,93.0
209,AVGX,37.79,ETF,ETF,97,97.0,18.0,90.0
210,FLYE,5.39,Consumer Cyclical,Auto Manufacturers,97,97.0,2.0,0.0
211,EOSE,6.26,Industrials,Electrical Equipment & Parts,97,97.0,99.0,99.0
212,ELTX,10.1,Healthcare,Biotechnology,97,91.0,10.0,97.0
213,UPST,82.92,Financial Services,Credit Services,97,96.0,95.0,98.0
214,ZENA,5.88,Technology,Software - Infrastructure,97,9.0,1.0,82.0
215,MIMI,7.59,Industrials,Engineering & Construction,97,96.0,19.0,91.0
216,HIMZ,25.66,ETF,ETF,97,10.0,8.0,97.0
217,LX,7.59,Financial Services,Credit Services,97,99.0,99.0,99.0
218,NET,189.9,Technology,Software - Infrastructure,97,98.0,93.0,95.0
219,PPIH,24.77,Industrials,Building Products & Equipment,97,98.0,90.0,94.0
220,AENT,6.15,Communication Services,Entertainment,97,36.0,18.0,99.0
221,PARR,31.28,Energy,Oil & Gas Refining & Marketing,97,97.0,8.0,4.0
222,DFEN,59.59,ETF,ETF,97,96.0,52.0,84.0
