Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,Earning_Date,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume,%_From_52WKH
143,PVLA,140.31,193836,Healthcare,Biotechnology,97.0,93.0,64.0,87.0,9.9555,9.5091,263062.0,413330.0,161.38,23.76,,2012444416,NO,121.09,101.82,123.38,112.94,2892,0.0,193836,NO,NO,2024-07-24,5845900.0,-13.06
145,STM,71.39,6555187,Technology,Semiconductors,97.0,8.0,97.0,97.0,4.4571,3.2157,12513900.0,12102340.0,81.42,21.11,,63451013120,NO,66.82,38.86,69.43,45.67,7944,4.29,6555187,NO,NO,1994-12-08,41167800.0,-12.32
147,WYFI,35.54,2172394,Technology,Information Technology Services,96.0,95.0,98.0,97.0,6.682,6.4075,1868170.0,3556160.0,46.87,10.51,,1372349312,NO,27.65,22.45,29.71,20.91,228,1.4,2172394,NO,NO,2025-08-07,14776600.0,-24.17
148,DRAM,64.76,41609586,ETF,ETF,96.0,11.0,,,6.345,3.8529,36210108.0,70467510.0,81.34,26.14,,0,NO,58.06,,61.47,,64,0.0,41609586,YES,NO,2026-06-25,104823000.0,-20.38
150,OUST,49.83,6779139,Technology,Electronic Components,96.0,87.0,98.0,97.0,7.1007,6.6214,4542939.0,6522690.0,63.79,16.4,,3172823040,NO,38.14,27.87,41.09,28.42,1439,0.0,6779139,NO,NO,2025-06-11,17407500.0,-21.88
151,AMAT,592.79,8322135,Technology,Semiconductor Equipment & Materials,96.0,91.0,95.0,97.0,52.2886,40.0678,8957011.0,15668410.0,739.67,154.47,,470651174912,NO,493.97,341.45,521.43,400.37,11669,0.0,8330767,NO,NO,1997-10-24,245229200.0,-19.86
156,FLEX,138.65,4608922,Technology,Electronic Components,96.0,5.0,97.0,97.0,11.5129,10.265,7027186.0,14388040.0,166.86,47.83,,50799910912,NO,135.95,81.91,143.47,93.2,8127,0.87,4608922,NO,NO,2005-10-26,102901552.0,-16.91
161,GH,168.82,2162177,Healthcare,Diagnostics & Research,96.0,96.0,96.0,93.0,7.9757,7.1279,2706139.0,4822720.0,172.83,40.35,,22385520640,NO,118.47,98.49,131.43,108.64,1946,0.0,2162177,NO,NO,2026-06-26,18771300.0,-2.32
162,VSXY,77.87,1196815,Consumer Cyclical,Apparel Retail,96.0,26.0,95.0,90.0,4.2193,3.9914,2365050.0,2322650.0,88.57,17.53,,6190020608,NO,63.76,50.8,68.0,58.9,1244,0.0,1196815,NO,NO,2024-03-07,25901500.0,-12.08
166,LRCX,350.2,10908623,Technology,Semiconductor Equipment & Materials,96.0,60.0,94.0,96.0,30.9214,23.7379,10999536.0,17055350.0,438.5,90.94,,437949988864,NO,322.77,223.98,334.21,261.37,10623,0.0,10908623,YES,NO,2012-06-04,298766000.0,-20.14
168,COHR,335.7,2891668,Technology,Scientific & Technical Instruments,96.0,3.0,86.0,95.0,36.3564,32.2921,6163073.0,6249920.0,440.0,84.35,,65676124160,NO,368.73,237.95,365.8,283.73,9761,0.0,2891668,NO,NO,2026-03-20,51484800.0,-23.7
169,TER,379.52,3374249,Technology,Semiconductor Equipment & Materials,96.0,11.0,81.0,96.0,39.0864,31.4357,4357039.0,7324630.0,487.91,88.6,,59410878464,NO,384.56,269.25,381.49,318.64,13455,0.0,3374847,NO,NO,2020-09-18,30212400.0,-22.22
180,IRDM,52.59,1967903,Communication Services,Telecom Services,96.0,77.0,94.0,98.0,3.58,2.9957,2854703.0,4342420.0,57.18,15.65,,5572240384,NO,45.23,27.47,47.28,32.82,4601,0.0,1967903,NO,NO,2021-02-11,24324300.0,-8.03
182,MTRN,261.8,374576,Basic Materials,Other Industrial Metals & Mining,96.0,88.0,96.0,96.0,14.962,13.9434,329898.0,536260.0,298.87,80.69,,5445828096,NO,226.51,158.75,239.67,179.45,11669,0.0,374576,NO,NO,2007-06-20,4251800.0,-12.4
183,AXGN,45.97,1561629,Healthcare,Medical Devices,96.0,87.0,88.0,89.0,2.6036,2.5893,1210690.0,1650770.0,46.95,10.71,,2444584704,NO,42.33,31.83,43.09,36.81,9961,0.0,1561629,NO,NO,2025-07-29,5556000.0,-2.09
184,POWL,248.05,581526,Industrials,Electrical Equipment & Parts,96.0,4.0,89.0,97.0,19.9007,17.6514,728559.0,1085660.0,328.0,68.33,,9036870656,NO,285.04,178.62,281.67,210.57,11669,0.0,581526,NO,NO,2024-07-31,5279700.0,-24.37
185,FORM,118.67,2909044,Technology,Semiconductor Equipment & Materials,96.0,13.0,69.0,96.0,14.6314,11.8436,2046675.0,2609380.0,160.27,26.08,,9250891776,NO,135.11,87.24,130.62,105.77,5802,0.0,2909044,NO,NO,2018-03-09,14323200.0,-25.96
187,XMTR,94.29,719550,Industrials,Industrial Distribution,96.0,88.0,97.0,92.0,4.8445,4.6887,879629.0,847160.0,99.86,30.63,,5209408000,NO,80.89,60.52,89.2,64.41,1258,0.0,728725,NO,NO,2026-02-24,6999500.0,-5.58
196,AIS,77.07,1027648,ETF,ETF,96.0,12.0,96.0,96.0,5.1231,3.3516,607406.0,957690.0,88.8,27.39,,0,NO,72.52,48.73,74.79,54.72,396,3.3,1027648,NO,NO,2026-07-02,1490800.0,-13.21
200,SMTC,138.89,2309350,Technology,Semiconductors,96.0,4.0,95.0,95.0,14.0814,11.4707,3628895.0,6384640.0,177.35,42.42,,12937765888,NO,142.75,93.54,146.86,105.5,11669,2.39,2309350,NO,NO,2023-10-19,23292100.0,-21.69
204,CEVA,44.64,882399,Technology,Semiconductors,96.0,7.0,97.0,96.0,4.1864,3.6642,854778.0,839960.0,51.6,17.02,,1243642112,NO,40.0,27.18,41.96,28.65,5954,7.62,885337,NO,NO,2025-11-19,4236800.0,-13.49
205,HNGE,88.52,1515332,Healthcare,Health Information Services,96.0,98.0,97.0,95.0,4.0958,4.0487,1748750.0,2943120.0,90.12,30.08,,6849688576,NO,60.44,48.91,67.19,50.41,280,0.0,1515332,NO,NO,2025-05-22,9172800.0,-1.78
216,PSI,159.57,324590,ETF,ETF,96.0,21.0,95.0,96.0,11.3967,8.4338,438442.0,454310.0,189.24,57.31,,0,NO,154.98,103.93,158.61,118.73,5290,0.0,324590,NO,NO,2007-10-25,9293700.0,-15.68
221,EWY,189.85,16553234,ETF,ETF,95.0,7.0,94.0,96.0,12.105,7.8529,19154739.0,22210750.0,220.89,69.85,,0,NO,187.87,128.92,191.6,148.23,6574,0.0,16553234,YES,NO,2026-03-03,65699600.0,-14.05
222,FIX,1793.03,293617,Industrials,Engineering & Construction,95.0,19.0,84.0,96.0,111.9087,88.9952,456170.0,628700.0,2073.99,513.99,,63085912064,NO,1884.84,1312.14,1867.91,1502.09,7299,1.78,293617,NO,NO,2025-12-19,8010000.0,-13.55
224,TECL,204.9,700185,ETF,ETF,95.0,2.0,97.0,94.0,21.145,16.3136,1276983.0,967510.0,275.4,75.16,,0,NO,201.96,138.7,209.51,145.06,4404,3.33,700185,NO,NO,2010-05-04,332400000.0,-25.6
