Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume,%_From_52WKH
1182,AAXJ,116.86,694861,ETF,ETF,84.0,41.0,82.0,85.0,3.9879,2.6186,753387.0,625580.0,124.89,81.9,0,NO,114.56,100.71,115.41,104.22,4492,0.0,666800.0,NO,NO,2011-10-19,9487100.0,-6.43
1185,UMBF,144.91,2248801,Financial Services,Banks - Regional,84.0,88.0,87.0,81.0,4.2929,4.2121,706172.0,888050.0,145.69,103.07,11010077696,NO,130.03,120.4,131.32,123.37,11664,0.36,2541100.0,NO,NO,2016-12-06,6362900.0,-0.54
1188,SWK,91.98,1274447,Industrials,Tools & Accessories,84.0,93.0,87.0,83.0,3.5729,3.2086,1954732.0,1984070.0,93.5,61.9,14298803200,NO,79.31,76.11,80.81,78.74,11664,0.0,2028500.0,NO,NO,2009-11-03,17520500.0,-1.63
1190,SXT,120.18,415978,Basic Materials,Specialty Chemicals,84.0,69.0,90.0,84.0,4.4343,3.7014,460425.0,698480.0,129.35,82.6,5115937792,NO,114.58,99.57,116.65,101.45,11664,0.0,1215100.0,NO,NO,2023-09-15,8000700.0,-7.09
1197,VGT,113.86,4627099,ETF,ETF,84.0,24.0,88.0,79.0,3.8021,3.1443,4993500.0,4926890.0,126.0,81.47,0,NO,112.58,98.13,113.75,99.75,5637,0.0,4661500.0,NO,NO,2018-03-06,52516000.0,-9.63
1207,CBT,93.4,2492714,Basic Materials,Specialty Chemicals,84.0,86.0,87.0,90.0,2.8229,2.6879,489412.0,862010.0,94.53,58.33,4821440512,NO,82.38,73.63,84.52,75.88,11501,0.54,486500.0,NO,NO,2021-06-25,6716400.0,-1.2
1208,ASND,260.75,3461801,Healthcare,Biotechnology,84.0,85.0,79.0,83.0,11.4379,11.3736,770566.0,1246910.0,271.89,160.86,17098975232,NO,231.49,218.62,232.14,225.18,2869,0.02,2654000.0,NO,NO,2023-04-03,7860200.0,-4.1
1216,MPC,254.06,6858314,Energy,Oil & Gas Refining & Marketing,84.0,73.0,33.0,93.0,8.385,7.6836,2403856.0,2901890.0,272.46,158.0,74169425920,NO,247.78,209.02,249.62,216.14,3773,0.0,6960300.0,NO,NO,2018-09-28,39153800.0,-6.75
1223,GS,1019.61,2140931,Financial Services,Capital Markets,83.0,71.0,83.0,70.0,35.0971,31.0579,2154927.0,2506640.0,1125.0,691.3,300792512512,NO,990.89,884.84,997.55,924.02,6829,0.0,4007300.0,NO,NO,2008-09-18,114590700.0,-9.37
1224,VPL,115.05,228649,ETF,ETF,83.0,58.0,79.0,86.0,3.1814,2.165,729212.0,416130.0,121.23,80.3,0,NO,111.94,99.12,112.44,102.91,5358,0.0,228600.0,NO,NO,2026-02-17,23548100.0,-5.1
1227,STNG,72.58,740460,Energy,Oil & Gas Midstream,83.0,13.0,14.0,91.0,2.7336,2.6429,1030925.0,1013830.0,87.39,38.83,3612201472,NO,79.12,66.63,79.08,69.66,4085,0.0,2193700.0,NO,NO,2020-04-21,7668500.0,-16.95
1230,SNOW,248.96,25447445,Technology,Software - Application,83.0,98.0,93.0,65.0,14.1739,14.1194,8959495.0,7905340.0,284.99,118.3,86289539072,NO,189.63,205.85,197.13,190.05,1451,0.0,25588500.0,YES,NO,2024-11-21,55121600.0,-12.64
1238,RL,411.16,1378913,Consumer Cyclical,Apparel Manufacturing,83.0,87.0,83.0,70.0,13.5493,12.0614,694445.0,824700.0,421.6,266.2,24470740992,NO,372.2,352.22,375.51,364.39,7305,0.0,1392900.0,NO,NO,1997-06-12,19963800.0,-2.48
1241,EQIX,1091.3,621677,Real Estate,REIT - Specialty,83.0,69.0,66.0,91.0,26.9407,26.3536,569948.0,726660.0,1128.68,720.62,107628650496,NO,1079.48,902.31,1079.34,948.02,6506,0.0,762300.0,NO,NO,2010-10-06,30574200.0,-3.31
