Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,Earning_Date,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume,%_From_52WKH
184,VLO,348.03,340.41,2155397.0,Energy,Oil & Gas Refining & Marketing,96.0,90.0,95.0,95.0,10.7258,10.3601,2858444.0,2097290.0,353.0,146.76,,100207394816,NO,328.33,298.56,233.28,306.97,258.37,11252,0.0,2155397,NO,NO,2004-04-28,84719360.0,-1.41
186,SEPN,40.25,41.3,168176.0,Healthcare,Biotechnology,96.0,90.0,94.0,90.0,2.7175,2.6953,443634.0,549290.0,51.1,11.7,,1878747136,NO,41.0,37.17,29.07,37.18,30.61,459,0.0,168176,NO,NO,2025-05-14,37815800.0,-21.23
191,ATI,212.86,215.23,1277951.0,Industrials,Metal Fabrication,96.0,88.0,91.0,90.0,8.2714,8.1879,1667438.0,1378960.0,243.57,74.45,,28985227264,NO,214.59,201.37,154.71,202.01,173.49,6726,0.0,1277951,NO,NO,2025-03-21,25961500.0,-12.61
192,ILMN,224.84,224.99,1713909.0,Healthcare,Diagnostics & Research,96.0,90.0,96.0,96.0,8.9343,8.5986,1998403.0,1696010.0,227.67,88.0,,33950838784,NO,202.3,191.12,148.53,196.44,155.4,6558,0.0,1713909,NO,NO,2024-06-21,36257766.0,-1.24
193,CRL,295.1,297.64,1231078.0,Healthcare,Diagnostics & Research,96.0,92.0,98.0,96.0,9.8507,9.7443,898695.0,913600.0,300.59,144.26,,14087741440,NO,273.22,240.69,195.9,250.11,197.8,6582,0.0,1231078,NO,NO,2025-04-11,11604900.0,-1.83
194,CGON,78.42,78.95,507811.0,Healthcare,Biotechnology,96.0,80.0,92.0,91.0,2.7121,2.5913,1003539.0,774630.0,80.97,26.04,,6951178240,NO,75.73,72.2,59.85,73.83,66.45,649,0.0,507811,NO,NO,2025-04-28,9040400.0,-3.15
197,GH,170.92,164.92,2010426.0,Healthcare,Diagnostics & Research,96.0,91.0,94.0,96.0,7.3614,6.9593,2638453.0,2289960.0,176.58,53.4,,22936809472,NO,162.95,155.3,115.07,160.97,120.92,1983,0.0,2010426,NO,NO,2026-06-26,18771300.0,-3.21
198,DAVE,372.3,349.47,276484.0,Technology,Software - Application,96.0,5.0,95.0,97.0,21.1748,20.7869,574201.0,412920.0,458.25,152.21,,4748875264,NO,354.07,369.89,254.88,373.23,276.51,1341,0.0,276484,NO,NO,2022-07-27,3887050.0,-18.76
204,MPC,362.27,354.88,2089238.0,Energy,Oil & Gas Refining & Marketing,96.0,90.0,96.0,96.0,11.9979,11.6486,2366985.0,2437740.0,367.6,161.93,,105759883264,NO,337.3,303.61,235.3,311.91,259.08,3815,0.0,2089238,NO,NO,2018-09-28,39153800.0,-1.45
207,PANW,339.31,339.9,4545167.0,Technology,Software - Infrastructure,96.0,76.0,94.0,97.0,14.91,14.8857,7254400.0,4982400.0,398.88,139.57,,276537638912,NO,362.02,339.57,227.96,343.78,246.08,3545,0.0,4545167,NO,NO,2017-03-01,130718400.0,-14.93
208,ANF,147.75,108.9,17199199.0,Consumer Cyclical,Apparel Retail,96.0,97.0,98.0,94.0,7.8871,6.2118,1234071.0,1137570.0,154.58,65.45,,6564785664,NO,110.7,99.47,94.5,104.31,92.85,7526,20.63,17199199,YES,NO,2012-11-14,35280600.0,-4.42
213,HTFL,48.94,49.89,1653525.0,Healthcare,Health Information Services,96.0,98.0,97.0,97.0,2.9891,2.6,1772931.0,3267390.0,51.19,20.13,,4255510272,NO,36.42,31.75,29.31,33.42,29.35,263,0.0,1653525,NO,NO,2026-06-26,12523600.0,-4.4
214,PARR,75.77,73.82,679992.0,Energy,Oil & Gas Refining & Marketing,96.0,11.0,94.0,97.0,4.78,4.6607,976187.0,881630.0,87.03,32.04,,3796048640,NO,77.27,70.29,54.71,72.0,61.2,3513,0.24,679992,NO,NO,2023-12-15,8762400.0,-12.94
218,MRX,72.12,70.85,445829.0,Financial Services,Capital Markets,96.0,87.0,94.0,95.0,3.82,3.5143,837588.0,709440.0,75.4,27.91,,0,NO,67.55,65.65,49.11,66.01,54.26,586,0.0,445829,NO,NO,2024-04-25,7269100.0,-4.35
222,DINO,96.52,93.24,2409414.0,Energy,Oil & Gas Refining & Marketing,96.0,80.0,95.0,96.0,3.5936,3.4064,2606471.0,2323360.0,98.39,45.71,,17159697408,NO,90.63,83.11,63.96,85.61,70.14,11706,0.0,2409414,NO,NO,2021-06-03,44093600.0,-1.9
223,GKOS,180.57,181.39,504028.0,Healthcare,Medical Devices,96.0,91.0,97.0,93.0,6.4757,6.2589,936258.0,661930.0,191.62,73.16,,10650729472,NO,179.97,160.19,126.19,165.26,134.12,2809,0.0,504028,NO,NO,2018-08-29,11054300.0,-5.77
229,FTNT,157.54,153.66,2982167.0,Technology,Software - Infrastructure,95.0,70.0,90.0,97.0,5.4679,5.4471,5798392.0,3877050.0,172.09,73.55,,115589242880,NO,158.91,156.49,107.24,157.17,119.4,4217,0.0,2982167,NO,NO,2018-10-10,166853000.0,-8.45
230,TWLO,228.46,223.97,1370871.0,Technology,Software - Infrastructure,95.0,90.0,91.0,96.0,14.9112,12.3648,2378944.0,2218660.0,258.35,98.44,,35085795328,NO,222.48,208.96,159.46,214.43,173.79,2558,0.0,1370871,NO,NO,2022-11-04,44840800.0,-11.57
231,FROG,92.8,89.48,1142077.0,Technology,Software - Application,95.0,92.0,93.0,98.0,5.5894,5.3994,2699093.0,1876840.0,99.22,34.05,,11442362368,NO,88.36,86.99,64.49,89.22,66.83,1493,0.0,1142077,NO,NO,2026-06-26,26093700.0,-6.47
238,NTRA,338.45,336.71,1093463.0,Healthcare,Diagnostics & Research,95.0,95.0,97.0,94.0,14.1078,11.0439,1448792.0,1447650.0,340.96,157.43,,48785596416,NO,306.18,279.74,231.37,291.48,233.15,2805,0.0,1093463,NO,NO,2022-03-09,41733200.0,-0.74
239,ARKG,49.45,50.06,6706021.0,ETF,ETF,95.0,95.0,96.0,95.0,1.8204,1.5754,3623031.0,4447770.0,50.53,24.2,,0,NO,44.19,41.5,32.71,42.73,34.04,2971,0.0,6706021,NO,NO,2020-12-29,15040000.0,-2.14
240,ONTO,291.88,291.62,688743.0,Technology,Semiconductor Equipment & Materials,95.0,92.0,77.0,88.0,22.5138,17.2884,1266741.0,1013090.0,386.46,101.0,,17840709632,NO,298.04,302.71,236.4,298.92,265.76,1716,0.0,688743,NO,NO,2023-10-17,9552200.0,-24.47
241,SN,188.55,183.8,1138928.0,Consumer Cyclical,"Furnishings, Fixtures & Appliances",95.0,90.0,97.0,93.0,5.5033,5.5033,1797730.0,1358180.0,191.22,83.12,,26683668480,NO,179.94,160.68,124.97,165.41,132.73,772,0.38,1138928,NO,NO,2026-05-15,11957600.0,-1.4
244,VAC,114.78,117.02,465103.0,Consumer Cyclical,Resorts & Casinos,95.0,86.0,94.0,97.0,5.0948,4.8048,508747.0,476700.0,131.34,44.58,,3947894784,NO,112.52,104.07,74.75,106.35,83.7,3720,0.0,465103,NO,NO,2018-08-31,7085300.0,-12.61
245,EAT,240.93,248.7,621455.0,Consumer Cyclical,Restaurants,95.0,92.0,97.0,95.0,11.2779,11.1936,1018746.0,1045970.0,254.99,100.3,,10332955648,NO,232.48,200.45,159.56,207.38,167.32,10743,0.0,621455,NO,NO,1997-01-29,23815350.0,-5.51
247,SNOW,315.37,317.02,3068241.0,Technology,Software - Application,95.0,90.0,98.0,96.0,12.0514,11.7106,6939768.0,3565290.0,341.95,118.3,,109307240448,NO,321.91,283.47,216.6,290.84,213.97,1493,0.0,3068241,NO,NO,2024-11-21,55121600.0,-7.77
249,TER,363.1,366.43,2206214.0,Technology,Semiconductor Equipment & Materials,95.0,87.0,18.0,53.0,24.2486,20.8421,4088160.0,2509090.0,487.91,109.56,,56767328256,NO,385.66,383.58,310.19,374.25,353.3,13492,0.0,2206214,NO,NO,2020-09-18,30212400.0,-25.58
254,BJRI,66.8,65.34,378969.0,Consumer Cyclical,Restaurants,95.0,13.0,95.0,95.0,2.5432,2.5143,518649.0,453320.0,74.6,28.46,,1421087488,NO,67.6,63.78,45.99,65.39,49.02,7517,1.03,378969,NO,NO,2012-10-26,5316700.0,-10.46
266,SMTC,140.8,127.52,10110045.0,Technology,Semiconductors,95.0,94.0,8.0,94.0,11.3004,9.7775,3398711.0,3319100.0,177.35,55.18,,13115684864,NO,130.28,136.3,105.1,133.45,117.86,11706,2.31,10110045,YES,NO,2023-10-19,23292100.0,-20.61
270,TEAM,168.47,166.49,4108488.0,Technology,Software - Application,95.0,98.0,98.0,97.0,10.6369,8.3369,4939331.0,4198710.0,184.0,56.01,,42646298624,NO,146.18,110.81,108.03,118.42,93.59,2693,0.0,4108488,NO,NO,2026-05-01,27384500.0,-8.44
272,ATRO,77.51,74.5,575313.0,Industrials,Aerospace & Defense,95.0,88.0,83.0,85.0,5.7186,5.2593,730855.0,858560.0,94.46,28.4,,3333632768,NO,79.08,76.22,60.69,76.1,66.54,11706,0.0,575313,NO,NO,2025-09-10,7185830.0,-17.94
277,BHYP,45.7,46.02,268632.0,ETF,ETF,95.0,97.0,94.0,,2.245,1.7436,448914.0,455130.0,46.81,24.18,,0,NO,34.9,35.5,,35.68,,71,0.0,268632,NO,NO,2026-06-12,1405900.0,-2.37
279,NTAP,193.85,187.43,1705007.0,Technology,Software - Infrastructure,95.0,85.0,94.0,96.0,7.2143,6.8729,3133123.0,2240550.0,209.06,93.69,,37979078656,NO,193.07,174.78,128.0,176.83,138.11,7740,0.07,1705007,NO,NO,2012-05-24,54215800.0,-7.28
280,HAE,106.6,108.32,661278.0,Healthcare,Medical Devices,95.0,95.0,97.0,95.0,3.6472,2.765,865269.0,901920.0,109.57,47.32,,4849985536,NO,94.45,83.62,71.61,86.48,70.21,8887,0.0,661278,NO,NO,1991-05-10,11925600.0,-2.71
286,CHEF,112.01,111.78,639679.0,Consumer Defensive,Food Distribution,95.0,86.0,95.0,94.0,3.5875,3.5875,594617.0,770980.0,117.33,53.2,,4569569280,NO,110.5,101.97,75.62,103.65,82.41,3792,0.1,639679,NO,NO,2011-07-28,6574100.0,-4.53
287,QLYS,176.67,175.94,330710.0,Technology,Software - Infrastructure,95.0,95.0,98.0,96.0,7.5557,7.4971,769358.0,530270.0,201.54,74.51,,6111898624,NO,177.37,154.16,123.56,159.39,117.47,3496,0.0,330710,NO,NO,2015-05-05,9904700.0,-12.34
293,VSAT,71.51,72.46,1378262.0,Technology,Communication Equipment,95.0,12.0,5.0,93.0,3.9046,3.7146,2669903.0,1618190.0,93.03,26.1,,9850917888,NO,79.34,74.68,56.02,74.82,63.67,7479,0.0,1378262,NO,NO,2024-06-28,18455500.0,-23.13
294,PSX,242.23,236.9,2223039.0,Energy,Oil & Gas Refining & Marketing,95.0,90.0,94.0,94.0,7.2714,7.0529,2664036.0,2779010.0,246.95,126.74,,97118486528,NO,225.42,203.03,168.52,208.44,182.51,3614,0.0,2223039,NO,NO,2022-03-08,16579800.0,-1.91
298,OKTA,134.42,130.61,6657023.0,Technology,Software - Infrastructure,95.0,19.0,96.0,96.0,6.8464,6.5414,3593922.0,2731250.0,157.0,62.66,,23570069504,NO,142.75,138.67,98.89,139.94,104.46,2359,0.0,6657023,NO,NO,2022-09-01,45872000.0,-14.38
