Ticker,Days,Start_Date,End_Date,Sufficient,3M_Return,6M_Return,9M_Return,12M_Return,Strength_Stock,Strength_Ref,RS,Recomputed_RS,Match
VTR,501,2024-06-24,2026-06-23,Sufficient,0.043,0.0683,0.2717,0.367,0.1586,0.1326,102.3,102.3,OK
CVLC,501,2024-06-24,2026-06-23,Sufficient,0.1484,0.108,0.1292,0.2585,0.1585,0.1326,102.29,102.29,OK
CRL,501,2024-06-24,2026-06-23,Sufficient,0.181,-0.0374,0.2008,0.2655,0.1582,0.1326,102.26,102.26,OK
PIPE,334,2025-02-24,2026-06-23,Sufficient,0.0197,0.2676,0.2431,0.2397,0.158,0.1326,102.24,102.24,OK
RNIN,276,2025-05-16,2026-06-23,Sufficient,0.109,0.1391,0.1602,0.2719,0.1579,0.1326,102.23,102.23,OK
FHB,501,2024-06-24,2026-06-23,Sufficient,0.1804,0.0879,0.1141,0.2254,0.1576,0.1326,102.21,102.21,OK
CRNC,501,2024-06-24,2026-06-23,Sufficient,0.4359,-0.0606,-0.193,0.1694,0.1575,0.1326,102.21,102.21,OK
FDM,501,2024-06-24,2026-06-23,Sufficient,0.103,0.0976,0.1792,0.305,0.1576,0.1326,102.21,102.21,OK
UE,501,2024-06-24,2026-06-23,Sufficient,0.1324,0.1724,0.1164,0.2336,0.1574,0.1326,102.2,102.2,OK
QABA,501,2024-06-24,2026-06-23,Sufficient,0.1401,0.1066,0.1337,0.2663,0.1574,0.1326,102.19,102.19,OK
PECO,501,2024-06-24,2026-06-23,Sufficient,0.1334,0.149,0.1906,0.1805,0.1574,0.1326,102.19,102.19,OK
TCHI,501,2024-06-24,2026-06-23,Sufficient,0.1733,0.1009,-0.0101,0.3495,0.1574,0.1326,102.19,102.19,OK
RYM,501,2024-06-24,2026-06-23,Sufficient,0.5356,-0.0394,-0.3646,0.1192,0.1573,0.1326,102.18,102.18,OK
IRS,501,2024-06-24,2026-06-23,Sufficient,0.1113,0.0385,0.36,0.165,0.1572,0.1326,102.18,102.18,OK
CBLS,501,2024-06-24,2026-06-23,Sufficient,0.1303,0.2032,0.1531,0.1687,0.1571,0.1326,102.17,102.17,OK
ABEO,501,2024-06-24,2026-06-23,Sufficient,0.2941,0.1626,0.0632,-0.0289,0.157,0.1326,102.16,102.16,OK
GMF,501,2024-06-24,2026-06-23,Sufficient,0.1329,0.1291,0.1184,0.2718,0.157,0.1326,102.16,102.16,OK
VTV,501,2024-06-24,2026-06-23,Sufficient,0.11,0.1392,0.171,0.2544,0.1569,0.1326,102.15,102.15,OK
AFBI,501,2024-06-24,2026-06-23,Sufficient,0.1703,0.0905,0.1372,0.2164,0.1569,0.1326,102.15,102.15,OK
EGUS,501,2024-06-24,2026-06-23,Sufficient,0.1643,0.0873,0.0972,0.2714,0.1569,0.1326,102.15,102.15,OK
WLDU,73,2026-03-10,2026-06-23,Short: 73d,0.2021,0.1268,0.1268,0.1268,0.1569,0.1326,102.15,102.15,OK
NEU,501,2024-06-24,2026-06-23,Sufficient,0.2715,0.0773,-0.0399,0.2038,0.1568,0.1326,102.14,102.14,OK
THRO,501,2024-06-24,2026-06-23,Sufficient,0.1554,0.1111,0.1205,0.2413,0.1567,0.1326,102.14,102.14,OK
CLCV,231,2025-07-23,2026-06-23,Short: 231d,0.1391,0.1449,0.1739,0.1867,0.1568,0.1326,102.14,102.14,OK
FNX,501,2024-06-24,2026-06-23,Sufficient,0.123,0.1292,0.136,0.2724,0.1567,0.1326,102.13,102.13,OK
JBSS,501,2024-06-24,2026-06-23,Sufficient,0.0634,0.0726,0.2911,0.2923,0.1566,0.1326,102.12,102.12,OK
SWKS,501,2024-06-24,2026-06-23,Sufficient,0.3478,0.1388,-0.0698,0.0182,0.1565,0.1326,102.12,102.12,OK
NXE,501,2024-06-24,2026-06-23,Sufficient,-0.0912,0.2188,0.1759,0.5697,0.1564,0.1326,102.11,102.11,OK
FINT,375,2024-12-20,2026-06-23,Sufficient,0.0989,0.141,0.1759,0.2669,0.1563,0.1326,102.1,102.1,OK
RWK,501,2024-06-24,2026-06-23,Sufficient,0.1375,0.1185,0.1323,0.256,0.1564,0.1326,102.1,102.1,OK
AVL,425,2024-10-10,2026-06-23,Sufficient,0.2432,0.1189,-0.2151,0.3916,0.1563,0.1326,102.1,102.1,OK
DGRS,501,2024-06-24,2026-06-23,Sufficient,0.1052,0.1416,0.1513,0.2779,0.1562,0.1326,102.09,102.09,OK
GSKH,365,2025-01-07,2026-06-23,Sufficient,0.01,0.087,0.2871,0.3872,0.1563,0.1326,102.09,102.09,OK
EGP,501,2024-06-24,2026-06-23,Sufficient,0.1138,0.1257,0.2341,0.1933,0.1561,0.1326,102.08,102.08,OK
VDI,137,2025-12-03,2026-06-22,Short: 137d,0.1373,0.1599,0.1727,0.1727,0.156,0.1326,102.07,102.07,OK
CGDV,501,2024-06-24,2026-06-23,Sufficient,0.1252,0.1174,0.1479,0.2638,0.1559,0.1326,102.06,102.06,OK
HCMT,501,2024-06-24,2026-06-23,Sufficient,0.1421,0.0655,0.0865,0.3433,0.1559,0.1326,102.06,102.06,OK
GRPZ,500,2024-06-24,2026-06-22,Sufficient,0.1488,0.1154,0.1162,0.2503,0.1559,0.1326,102.06,102.06,OK
ESN,418,2024-10-21,2026-06-23,Sufficient,0.1171,0.1467,0.1485,0.2502,0.1559,0.1326,102.06,102.06,OK
FLNG,501,2024-06-24,2026-06-23,Sufficient,0.0171,0.2209,0.2371,0.2871,0.1559,0.1326,102.06,102.06,OK
VEA,501,2024-06-24,2026-06-23,Sufficient,0.1023,0.1225,0.1764,0.2758,0.1558,0.1326,102.06,102.06,OK
QLC,501,2024-06-24,2026-06-23,Sufficient,0.1246,0.099,0.1375,0.2929,0.1557,0.1326,102.04,102.04,OK
KRE,501,2024-06-24,2026-06-23,Sufficient,0.1459,0.0836,0.1191,0.2837,0.1556,0.1326,102.04,102.04,OK
CASS,501,2024-06-24,2026-06-23,Sufficient,0.1266,0.1193,0.2008,0.2045,0.1556,0.1326,102.03,102.03,OK
NVS,501,2024-06-24,2026-06-23,Sufficient,0.0357,0.1339,0.2477,0.3249,0.1556,0.1326,102.03,102.03,OK
FLQL,501,2024-06-24,2026-06-23,Sufficient,0.1334,0.1142,0.1282,0.2681,0.1554,0.1326,102.02,102.02,OK
THD,501,2024-06-24,2026-06-23,Sufficient,0.0258,0.1677,0.1367,0.4205,0.1553,0.1326,102.01,102.01,OK
BIRD,501,2024-06-24,2026-06-23,Sufficient,0.595,0.2611,-0.162,-0.5124,0.1553,0.1326,102.01,102.01,OK
DUKQ,489,2024-07-11,2026-06-23,Sufficient,0.1421,0.1179,0.1302,0.2443,0.1553,0.1326,102.01,102.01,OK
TEXN,251,2025-06-24,2026-06-23,Short: 251d,0.0661,0.2003,0.1656,0.2785,0.1553,0.1326,102.01,102.01,OK
LEGH,501,2024-06-24,2026-06-23,Sufficient,0.2805,0.1841,-0.0926,0.1237,0.1552,0.1326,102.0,102.0,OK
DYNF,501,2024-06-24,2026-06-23,Sufficient,0.1322,0.1072,0.1276,0.2761,0.1551,0.1326,101.99,101.99,OK
FJP,501,2024-06-24,2026-06-23,Sufficient,0.0714,0.1473,0.1616,0.3238,0.1551,0.1326,101.99,101.99,OK
QRFT,501,2024-06-24,2026-06-23,Sufficient,0.1435,0.1078,0.1258,0.2549,0.1551,0.1326,101.99,101.99,OK
HYNE,137,2025-12-04,2026-06-23,Short: 137d,0.1159,0.1982,0.1725,0.1725,0.155,0.1326,101.98,101.98,OK
IJH,501,2024-06-24,2026-06-23,Sufficient,0.1225,0.1356,0.1477,0.2461,0.1549,0.1326,101.97,101.97,OK
NVDG,380,2024-12-13,2026-06-23,Sufficient,0.2106,0.0401,-0.0515,0.3639,0.1547,0.1326,101.96,101.96,OK
WSML,306,2025-04-03,2026-06-23,Sufficient,0.1143,0.1311,0.1358,0.2777,0.1546,0.1326,101.95,101.95,OK
