Rank,Ticker,Price,Sector,Industry,RS Percentile,ATR,52WKH,52WKL,Earning_Date,E_Day1,E_Day2,E_Day3,E_Day4,E_Day5,E_Day6
521,JBL,374.98,Technology,Electronic Components,94.0,20.1752,428.93,189.6,2026-06-17,371.88,,377.24,372.99,371.8,371.8
7755,KMX,47.43,Consumer Cyclical,Auto & Truck Dealerships,24.0,2.4,71.99,30.26,2026-06-17,53.66,,52.4,51.91,50.79,50.79
9985,ACN,127.98,Technology,Information Technology Services,2.0,9.5679,307.77,125.6,2026-06-18,,124.83,127.01,129.15,129.15,
7458,FRVO,36.36,Utilities,Utilities - Renewable,27.0,3.1964,42.65,32.39,2026-06-22,32.96,32.49,32.49,,,
9776,HAWK,22.28,Industrials,Aerospace & Defense,4.0,2.5514,35.73,21.5,2026-06-22,23.12,20.87,20.87,,,
948,FDX,317.24,Industrials,Integrated Freight & Logistics,90.0,9.5407,345.37,174.13,2026-06-23,316.83,316.83,,,,
4159,ICLR,142.67,Healthcare,Diagnostics & Research,58.0,6.9179,211.0,66.57,2026-06-23,158.17,158.17,,,,
9366,CBRS,226.72,Technology,Semiconductors,7.0,24.2529,386.34,196.73,2026-06-23,182.26,182.26,,,,
38,MU,1048.51,Technology,Semiconductors,99.0,102.9907,1213.56,103.38,2026-06-24,1048.51,,,,,
2934,JEF,57.94,Financial Services,Capital Markets,71.0,2.2843,71.04,35.53,2026-06-24,57.94,,,,,
3036,WS,39.62,Basic Materials,Steel,70.0,2.1876,49.17,25.32,2026-06-24,39.62,,,,,
8977,PAYX,96.3,Technology,Software - Application,12.0,3.0829,148.76,85.45,2026-06-24,96.3,,,,,
